File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/point-set_10_f999dc7f.instance.json                         10                       4                        6                        -0.567913                15                       
challenge_instances/point-set_10_ae0fff93.instance.json                         6                        4                        2                        -0.263034                13                       
challenge_instances/point-set_40_f511c8ce.instance.json                         44                       35                       7                        -0.147743                108.5                    
challenge_instances/point-set_40_ae33a7ea.instance.json                         38                       28                       10                       -0.195716                89                       
challenge_instances/point-set_60_74409a1d.instance.json                         59                       34                       20                       -0.321101                112                      
challenge_instances/point-set_20_41c48315.instance.json                         20                       16                       4                        -0.086617                50                       
challenge_instances/point-set_10_97578aae.instance.json                         6                        3                        3                        -0.406687                10.5                     
challenge_instances/point-set_40_8cbf31aa.instance.json                         30                       19                       10                       -0.285726                62                       
challenge_instances/point-set_10_d009159f.instance.json                         8                        4                        4                        -0.402196                14                       
challenge_instances/point-set_150_1fb326cf.instance.json                        164                      137                      25                       -0.104545                423.5                    
challenge_instances/point-set_20_54ab0b47.instance.json                         18                       9                        6                        -0.464423                30                       
challenge_instances/point-set_100_05594822.instance.json                        111                      72                       31                       -0.253547                231.5                    
challenge_instances/point-set_150_982c9ab3.instance.json                        198                      152                      32                       -0.127492                472                      
challenge_instances/point-set_60_9fc02edd.instance.json                         80                       42                       23                       -0.393107                137.5                    
challenge_instances/point-set_80_837b0f11.instance.json                         105                      66                       30                       -0.280684                213                      
challenge_instances/point-set_60_2ff8f975.instance.json                         72                       49                       18                       -0.24087                 156                      
challenge_instances/point-set_40_9451c229.instance.json                         34                       9                        21                       -0.851202                37.5                     
challenge_instances/point-set_40_1b92b629.instance.json                         40                       28                       11                       -0.14092                 89.5                     
challenge_instances/point-set_20_5868538a.instance.json                         15                       10                       5                        -0.256327                32.5                     
challenge_instances/point-set_10_7451a2a9.instance.json                         5                        3                        2                        -0.321928                10                       
challenge_instances/point-set_20_fa3fd7e0.instance.json                         15                       12                       2                        0                        37                       
challenge_instances/point-set_60_ac318d72.instance.json                         64                       39                       19                       -0.242201                126.5                    
challenge_instances/point-set_80_8383fead.instance.json                         86                       55                       24                       -0.274221                177                      
challenge_instances/point-set_80_d77fb670.instance.json                         68                       34                       26                       -0.421509                115                      
challenge_instances/point-set_10_c04b0024.instance.json                         9                        3                        6                        -0.642177                12                       
challenge_instances/point-set_20_0c4009d9.instance.json                         26                       20                       6                        -0.1685                  63                       
challenge_instances/point-set_80_9a8373fb.instance.json                         35                       14                       19                       -0.580593                51.5                     
challenge_instances/point-set_20_34a047f7.instance.json                         23                       16                       6                        -0.256586                51                       
challenge_instances/point-set_60_27bc003d.instance.json                         65                       51                       11                       -0.121473                158.5                    
challenge_instances/point-set_150_b26a2c80.instance.json                        153                      102                      46                       -0.223133                329                      
challenge_instances/point-set_80_1675b331.instance.json                         54                       33                       19                       -0.263936                108.5                    
challenge_instances/point-set_10_13860916.instance.json                         11                       6                        4                        -0.0965022               20                       
challenge_instances/point-set_100_dd67678e.instance.json                        89                       54                       31                       -0.289162                177.5                    
challenge_instances/point-set_10_4bcb7c21.instance.json                         6                        2                        4                        0                        8                        
challenge_instances/point-set_20_72cd2066.instance.json                         21                       13                       7                        -0.3367                  42.5                     
challenge_instances/point-set_100_0245ce31.instance.json                        32                       11                       18                       -0.64066                 42                       
challenge_instances/point-set_80_ff15444b.instance.json                         86                       68                       14                       -0.141479                211                      
challenge_instances/point-set_150_20bcb550.instance.json                        118                      74                       39                       -0.239606                241.5                    
challenge_instances/point-set_250_3c338713.instance.json                        257                      168                      59                       -0.220132                533.5                    
challenge_instances/point-set_250_93dd622a.instance.json                        121                      92                       23                       -0.140478                287.5                    
