File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/simple-polygon-exterior-20_20_eb63a5b6.instance.json        21                       14                       6                        -0.201241                45                       
challenge_instances/simple-polygon-exterior-20_20_1e719235.instance.json        25                       19                       6                        -0.184087                60                       
challenge_instances/simple-polygon-exterior-20_40_b9ab4f03.instance.json        47                       30                       15                       -0.271036                97.5                     
challenge_instances/simple-polygon-exterior-20_10_8c4306da.instance.json        8                        5                        3                        -0.354756                16.5                     
challenge_instances/simple-polygon-exterior-20_40_84415804.instance.json        36                       25                       9                        -0.190379                79.5                     
challenge_instances/simple-polygon-exterior_60_8670ab75.instance.json           61                       37                       19                       -0.285665                120.5                    
challenge_instances/simple-polygon-exterior_20_ff791267.instance.json           25                       24                       1                        0                        72.5                     
challenge_instances/simple-polygon-exterior_40_7685a35e.instance.json           37                       27                       9                        -0.147041                85.5                     
challenge_instances/simple-polygon-exterior_150_89d077ac.instance.json          141                      111                      23                       -0.132089                344.5                    
challenge_instances/simple-polygon-exterior_10_74050e4d.instance.json           7                        3                        4                        -0.648419                11                       
challenge_instances/simple-polygon-exterior-20_100_7ed1ca87.instance.json       113                      80                       24                       -0.198438                252                      
challenge_instances/simple-polygon-exterior_80_22d34c7e.instance.json           89                       54                       29                       -0.28036                 176.5                    
challenge_instances/simple-polygon-exterior-20_40_5faf6985.instance.json        34                       22                       10                       -0.283717                71                       
challenge_instances/simple-polygon-exterior-20_250_eb5ab92f.instance.json       253                      188                      52                       -0.17477                 590                      
challenge_instances/simple-polygon-exterior_10_c5616894.instance.json           12                       11                       1                        0                        33.5                     
challenge_instances/simple-polygon-exterior-20_250_4441b4ca.instance.json       248                      181                      47                       -0.167568                566.5                    
challenge_instances/simple-polygon-exterior-20_100_c256488f.instance.json       113                      78                       28                       -0.194902                248                      
challenge_instances/simple-polygon-exterior_10_a5f0f2fc.instance.json           7                        4                        3                        -0.414921                13.5                     
challenge_instances/simple-polygon-exterior-20_20_52abeef5.instance.json        24                       17                       6                        -0.19665                 54                       
challenge_instances/simple-polygon-exterior-20_150_7768dd44.instance.json       161                      105                      44                       -0.247927                337                      
challenge_instances/simple-polygon-exterior-20_60_53ad6d23.instance.json        45                       30                       11                       -0.24177                 95.5                     
challenge_instances/simple-polygon-exterior_10_40642b31.instance.json           7                        6                        1                        0                        18.5                     
challenge_instances/simple-polygon-exterior_100_f1740925.instance.json          101                      71                       22                       -0.195643                224                      
challenge_instances/simple-polygon-exterior-20_60_8221c868.instance.json        73                       52                       17                       -0.219868                164.5                    
challenge_instances/simple-polygon-exterior_80_d87f15e8.instance.json           87                       58                       25                       -0.227862                186.5                    
challenge_instances/simple-polygon-exterior_20_92dcd467.instance.json           15                       12                       3                        -0.141154                37.5                     
challenge_instances/simple-polygon-exterior_10_8b098f5e.instance.json           9                        7                        2                        -0.169925                22                       
challenge_instances/simple-polygon-exterior_20_7520a1da.instance.json           16                       8                        7                        -0.450606                27.5                     
challenge_instances/simple-polygon-exterior_10_310dc6c7.instance.json           5                        3                        2                        -0.321928                10                       
challenge_instances/simple-polygon-exterior-20_250_823ed1ae.instance.json       283                      193                      81                       -0.210454                619.5                    
challenge_instances/simple-polygon-exterior_250_3f7ba0d3.instance.json          280                      210                      54                       -0.150457                657                      
challenge_instances/simple-polygon-exterior-20_60_28a85662.instance.json        76                       53                       22                       -0.188577                170                      
challenge_instances/simple-polygon-exterior-20_250_0c9fa44e.instance.json       289                      200                      72                       -0.198437                636                      
challenge_instances/simple-polygon-exterior-20_10_868921c7.instance.json        7                        2                        5                        -0.486314                8.5                      
challenge_instances/simple-polygon-exterior-20_100_8bfbe418.instance.json       105                      81                       21                       -0.149263                253.5                    
challenge_instances/simple-polygon-exterior_40_11434792.instance.json           45                       29                       12                       -0.304965                93                       
challenge_instances/simple-polygon-exterior_60_494df14f.instance.json           69                       53                       12                       -0.170582                165                      
challenge_instances/simple-polygon-exterior-20_60_e6f13145.instance.json        82                       66                       14                       -0.119573                205                      
challenge_instances/simple-polygon-exterior_20_87cff693.instance.json           20                       13                       7                        -0.225664                42.5                     
challenge_instances/simple-polygon-exterior-20_40_317d3f6d.instance.json        30                       20                       9                        -0.240551                64.5                     
challenge_instances/simple-polygon-exterior_250_c0a19392.instance.json          302                      206                      69                       -0.207022                652.5                    
challenge_instances/simple-polygon-exterior-20_80_1c5fcde7.instance.json        87                       61                       21                       -0.202469                193.5                    
challenge_instances/simple-polygon-exterior-20_20_0f96fb2c.instance.json        19                       12                       6                        -0.20419                 39                       
challenge_instances/simple-polygon-exterior_40_ff947945.instance.json           49                       25                       20                       -0.3783                  85                       
challenge_instances/simple-polygon-exterior-20_60_57cd1db6.instance.json        64                       44                       16                       -0.202388                140                      
challenge_instances/simple-polygon-exterior_40_ca26cbd4.instance.json           45                       36                       9                        -0.140129                112.5                    
challenge_instances/simple-polygon-exterior-20_80_889602ae.instance.json        86                       65                       15                       -0.157892                202.5                    
challenge_instances/simple-polygon-exterior-20_20_e64ff8fc.instance.json        22                       15                       7                        -0.235669                48.5                     
challenge_instances/simple-polygon-exterior-20_150_41e0c5f0.instance.json       165                      126                      32                       -0.152467                394                      
challenge_instances/simple-polygon-exterior_40_785575e7.instance.json           33                       19                       11                       -0.332764                62.5                     
challenge_instances/simple-polygon-exterior_20_2a7302a0.instance.json           16                       14                       2                        -0.0931094               43                       
challenge_instances/simple-polygon-exterior_150_1301b82e.instance.json          164                      113                      41                       -0.198589                359.5                    
challenge_instances/simple-polygon-exterior-20_40_8ad14096.instance.json        39                       33                       6                        -0.107572                102                      
challenge_instances/simple-polygon-exterior-20_10_c6728228.instance.json        8                        3                        5                        -0.776571                11.5                     
challenge_instances/simple-polygon-exterior-20_20_c27f41dd.instance.json        20                       14                       6                        -0.228334                45                       
challenge_instances/simple-polygon-exterior-20_10_15783346.instance.json        7                        6                        1                        0                        18.5                     
challenge_instances/simple-polygon-exterior_60_ba2c82c0.instance.json           47                       28                       19                       -0.310654                93.5                     
