File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/ortho_40_56a6f463.instance.json                             23                       4                        17                       -1.17404                 20.5                     
challenge_instances/ortho_10_d2723dcc.instance.json                             4                        2                        1                        0                        6.5                      
challenge_instances/ortho_40_df58ce3b.instance.json                             13                       6                        6                        -0.406035                21                       
challenge_instances/ortho_60_5c5796a0.instance.json                             31                       15                       14                       -0.42248                 52                       
challenge_instances/ortho_20_e2aff192.instance.json                             6                        4                        2                        -0.263034                13                       
challenge_instances/ortho_60_c423f527.instance.json                             27                       16                       9                        -0.29743                 52.5                     
challenge_instances/ortho_100_bd1e4a14.instance.json                            43                       21                       18                       -0.413366                72                       
challenge_instances/ortho_60_f744490d.instance.json                             23                       14                       7                        -0.304033                45.5                     
challenge_instances/ortho_20_5a9e8244.instance.json                             9                        2                        7                        -0.954043                9.5                      
challenge_instances/ortho_80_06ee55d4.instance.json                             36                       17                       13                       -0.4008                  57.5                     
challenge_instances/ortho_150_53eb4022.instance.json                            56                       31                       21                       -0.336942                103.5                    
challenge_instances/ortho_250_6e6a66c2.instance.json                            122                      65                       49                       -0.366842                219.5                    
challenge_instances/ortho_250_3b977f7e.instance.json                            109                      55                       45                       -0.404116                187.5                    
