File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/simple-polygon_10_272aa6ea.instance.json                    4                        1                        3                        -0.854756                4.5                      
challenge_instances/simple-polygon_10_f2c8d74a.instance.json                    5                        5                        0                        0                        15                       
challenge_instances/simple-polygon_20_0dda68ed.instance.json                    13                       3                        9                        -0.459038                13.5                     
challenge_instances/simple-polygon_40_12969fc3.instance.json                    23                       11                       9                        -0.457806                37.5                     
challenge_instances/simple-polygon_100_4ee8f447.instance.json                   49                       30                       16                       -0.313758                98                       
challenge_instances/simple-polygon_100_cb23308c.instance.json                   74                       58                       15                       -0.134784                181.5                    
challenge_instances/simple-polygon_60_17af118a.instance.json                    21                       12                       6                        -0.390027                39                       
challenge_instances/simple-polygon_150_b42a5724.instance.json                   109                      77                       25                       -0.188827                243.5                    
challenge_instances/simple-polygon_100_6101abad.instance.json                   37                       16                       18                       -0.504086                57                       
challenge_instances/simple-polygon_150_743d6b9c.instance.json                   85                       27                       45                       -0.648092                103.5                    
challenge_instances/simple-polygon_60_0347cd75.instance.json                    33                       19                       13                       -0.332394                63.5                     
challenge_instances/simple-polygon_20_4bd3c2e5.instance.json                    10                       3                        6                        -0.722289                12                       
challenge_instances/simple-polygon_80_7b8f6c4c.instance.json                    22                       8                        13                       -0.56768                 30.5                     
challenge_instances/simple-polygon_80_48c9df87.instance.json                    42                       19                       21                       -0.482827                67.5                     
challenge_instances/simple-polygon_10_297edd18.instance.json                    6                        2                        3                        -0.647237                7.5                      
challenge_instances/simple-polygon_150_f24b0f8e.instance.json                   48                       27                       20                       -0.328612                91                       
challenge_instances/simple-polygon_100_4b4ba391.instance.json                   23                       9                        14                       -0.456949                34                       
challenge_instances/simple-polygon_20_35585ee3.instance.json                    8                        4                        4                        -0.454081                14                       
challenge_instances/simple-polygon_250_6e9d9c26.instance.json                   51                       35                       12                       -0.197096                111                      
challenge_instances/simple-polygon_250_432b4814.instance.json                   128                      74                       35                       -0.341855                239.5                    
challenge_instances/simple-polygon_150_c0cf1e9c.instance.json                   74                       35                       34                       -0.449378                122                      
challenge_instances/simple-polygon_250_c02755d7.instance.json                   119                      59                       50                       -0.38785                 202                      
