File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/point-set_10_f999dc7f.instance.json                         10                       6                        10                       -0.0817816               23                       
challenge_instances/point-set_10_ae0fff93.instance.json                         6                        5                        3                        -0.131517                16.5                     
challenge_instances/point-set_40_f511c8ce.instance.json                         44                       48                       23                       0.170487                 155.5                    
challenge_instances/point-set_40_ae33a7ea.instance.json                         38                       41                       21                       0.184655                 133.5                    
challenge_instances/point-set_60_74409a1d.instance.json                         59                       52                       36                       0.128729                 174                      
challenge_instances/point-set_20_41c48315.instance.json                         20                       18                       15                       0.104266                 61.5                     
challenge_instances/point-set_10_97578aae.instance.json                         6                        4                        5                        -0.0560849               14.5                     
challenge_instances/point-set_40_8cbf31aa.instance.json                         30                       28                       21                       0.110261                 94.5                     
challenge_instances/point-set_10_d009159f.instance.json                         8                        5                        9                        -0.255145                19.5                     
challenge_instances/point-set_150_1fb326cf.instance.json                        164                      164                      71                       0.111242                 527.5                    
challenge_instances/point-set_20_54ab0b47.instance.json                         18                       12                       13                       -0.0580983               42.5                     
challenge_instances/point-set_150_982c9ab3.instance.json                        198                      219                      69                       0.195519                 691.5                    
challenge_instances/point-set_100_05594822.instance.json                        111                      104                      72                       0.157862                 348                      
challenge_instances/point-set_60_9fc02edd.instance.json                         80                       65                       49                       0.0512245                219.5                    
challenge_instances/point-set_80_837b0f11.instance.json                         105                      113                      58                       0.259192                 368                      
challenge_instances/point-set_40_9451c229.instance.json                         34                       25                       31                       0.0943063                90.5                     
challenge_instances/point-set_60_2ff8f975.instance.json                         72                       62                       46                       0.0405048                209                      
challenge_instances/point-set_40_1b92b629.instance.json                         40                       38                       24                       0.0493123                126                      
challenge_instances/point-set_20_5868538a.instance.json                         15                       13                       9                        0.0911488                43.5                     
challenge_instances/point-set_10_7451a2a9.instance.json                         5                        5                        3                        0                        16.5                     
challenge_instances/point-set_20_fa3fd7e0.instance.json                         15                       15                       6                        -0.0260105               48                       
challenge_instances/point-set_60_ac318d72.instance.json                         64                       63                       36                       0.188492                 207                      
challenge_instances/point-set_80_8383fead.instance.json                         86                       89                       51                       0.22279                  292.5                    
challenge_instances/point-set_80_d77fb670.instance.json                         68                       46                       51                       -0.0774642               163.5                    
challenge_instances/point-set_10_c04b0024.instance.json                         9                        2                        11                       -1.00768                 11.5                     
challenge_instances/point-set_20_0c4009d9.instance.json                         26                       28                       15                       0.158209                 91.5                     
challenge_instances/point-set_80_9a8373fb.instance.json                         35                       18                       39                       -0.279452                73.5                     
challenge_instances/point-set_20_34a047f7.instance.json                         23                       20                       14                       -0.0542679               67                       
challenge_instances/point-set_60_27bc003d.instance.json                         65                       82                       30                       0.164249                 261                      
challenge_instances/point-set_150_b26a2c80.instance.json                        153                      151                      87                       0.176894                 496.5                    
challenge_instances/point-set_80_1675b331.instance.json                         54                       56                       34                       0.193048                 185                      
challenge_instances/point-set_10_13860916.instance.json                         11                       9                        7                        0.041864                 30.5                     
challenge_instances/point-set_100_dd67678e.instance.json                        89                       95                       48                       0.224911                 309                      
challenge_instances/point-set_10_4bcb7c21.instance.json                         6                        3                        5                        -0.776571                11.5                     
challenge_instances/point-set_20_72cd2066.instance.json                         21                       17                       15                       -0.126738                58.5                     
challenge_instances/point-set_100_0245ce31.instance.json                        32                       15                       36                       -0.220838                63                       
challenge_instances/point-set_80_ff15444b.instance.json                         86                       96                       43                       0.224718                 309.5                    
challenge_instances/point-set_150_20bcb550.instance.json                        118                      123                      69                       0.23462                  403.5                    
challenge_instances/point-set_250_3c338713.instance.json                        257                      205                      105                      0.0292843                667.5                    
challenge_instances/point-set_250_93dd622a.instance.json                        121                      144                      57                       0.24967                  460.5                    
