File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/simple-polygon-exterior-20_20_eb63a5b6.instance.json        21                       22                       13                       0.172001                 72.5                     
challenge_instances/simple-polygon-exterior-20_20_1e719235.instance.json        25                       27                       13                       0.12508                  87.5                     
challenge_instances/simple-polygon-exterior-20_40_b9ab4f03.instance.json        47                       48                       28                       0.234069                 158                      
challenge_instances/simple-polygon-exterior-20_10_8c4306da.instance.json        8                        6                        8                        -0.00273747              22                       
challenge_instances/simple-polygon-exterior_60_8670ab75.instance.json           61                       70                       32                       0.247703                 226                      
challenge_instances/simple-polygon-exterior-20_40_84415804.instance.json        36                       40                       20                       0.186048                 130                      
challenge_instances/simple-polygon-exterior_20_ff791267.instance.json           25                       30                       11                       0.119201                 95.5                     
challenge_instances/simple-polygon-exterior_40_7685a35e.instance.json           37                       41                       20                       0.121862                 133                      
challenge_instances/simple-polygon-exterior_150_89d077ac.instance.json          141                      143                      67                       0.164617                 462.5                    
challenge_instances/simple-polygon-exterior_10_74050e4d.instance.json           7                        4                        5                        -0.626968                14.5                     
challenge_instances/simple-polygon-exterior-20_100_7ed1ca87.instance.json       113                      133                      57                       0.26625                  427.5                    
challenge_instances/simple-polygon-exterior_80_22d34c7e.instance.json           89                       93                       53                       0.218012                 305.5                    
challenge_instances/simple-polygon-exterior-20_40_5faf6985.instance.json        34                       31                       21                       0.0445457                103.5                    
challenge_instances/simple-polygon-exterior-20_250_eb5ab92f.instance.json       253                      201                      98                       -0.0242842               652                      
challenge_instances/simple-polygon-exterior_10_c5616894.instance.json           12                       12                       7                        -0.0267575               39.5                     
challenge_instances/simple-polygon-exterior-20_250_4441b4ca.instance.json       248                      219                      79                       0.040625                 696.5                    
challenge_instances/simple-polygon-exterior-20_20_52abeef5.instance.json        24                       16                       18                       -0.0908508               57                       
challenge_instances/simple-polygon-exterior-20_100_c256488f.instance.json       113                      129                      61                       0.271276                 417.5                    
challenge_instances/simple-polygon-exterior-20_150_7768dd44.instance.json       161                      181                      71                       0.212557                 578.5                    
challenge_instances/simple-polygon-exterior_10_a5f0f2fc.instance.json           7                        6                        4                        -0.178612                20                       
challenge_instances/simple-polygon-exterior-20_60_53ad6d23.instance.json        45                       47                       25                       0.162501                 153.5                    
challenge_instances/simple-polygon-exterior_10_40642b31.instance.json           7                        7                        3                        0.0963225                22.5                     
challenge_instances/simple-polygon-exterior_100_f1740925.instance.json          101                      116                      47                       0.243178                 371.5                    
challenge_instances/simple-polygon-exterior-20_60_8221c868.instance.json        73                       82                       39                       0.226234                 265.5                    
challenge_instances/simple-polygon-exterior_80_d87f15e8.instance.json           87                       90                       49                       0.196045                 294.5                    
challenge_instances/simple-polygon-exterior_20_92dcd467.instance.json           15                       17                       5                        0.157644                 53.5                     
challenge_instances/simple-polygon-exterior_10_8b098f5e.instance.json           9                        9                        5                        -0.0480153               29.5                     
challenge_instances/simple-polygon-exterior-20_250_823ed1ae.instance.json       283                      256                      101                      0.0701478                818.5                    
challenge_instances/simple-polygon-exterior_20_7520a1da.instance.json           16                       14                       13                       0.0919051                48.5                     
challenge_instances/simple-polygon-exterior_10_310dc6c7.instance.json           5                        5                        3                        0.114206                 16.5                     
challenge_instances/simple-polygon-exterior_250_3f7ba0d3.instance.json          280                      232                      84                       -0.0154295               738                      
challenge_instances/simple-polygon-exterior-20_60_28a85662.instance.json        76                       88                       40                       0.22189                  284                      
challenge_instances/simple-polygon-exterior-20_250_0c9fa44e.instance.json       289                      244                      109                      0.0222816                786.5                    
challenge_instances/simple-polygon-exterior-20_10_868921c7.instance.json        7                        3                        7                        -0.165886                12.5                     
challenge_instances/simple-polygon-exterior-20_100_8bfbe418.instance.json       105                      122                      51                       0.251055                 391.5                    
challenge_instances/simple-polygon-exterior-20_60_e6f13145.instance.json        82                       101                      37                       0.257419                 321.5                    
challenge_instances/simple-polygon-exterior_40_11434792.instance.json           45                       44                       28                       0.173848                 146                      
challenge_instances/simple-polygon-exterior_60_494df14f.instance.json           69                       81                       32                       0.217835                 259                      
challenge_instances/simple-polygon-exterior_20_87cff693.instance.json           20                       22                       12                       0.228828                 72                       
challenge_instances/simple-polygon-exterior-20_40_317d3f6d.instance.json        30                       30                       17                       0.0916697                98.5                     
challenge_instances/simple-polygon-exterior_250_c0a19392.instance.json          302                      230                      108                      -0.0446361               744                      
challenge_instances/simple-polygon-exterior-20_80_1c5fcde7.instance.json        87                       100                      44                       0.229903                 322                      
challenge_instances/simple-polygon-exterior-20_20_0f96fb2c.instance.json        19                       14                       13                       -0.125325                48.5                     
challenge_instances/simple-polygon-exterior_40_ff947945.instance.json           49                       36                       33                       0.0671304                124.5                    
challenge_instances/simple-polygon-exterior-20_60_57cd1db6.instance.json        64                       72                       34                       0.241142                 233                      
challenge_instances/simple-polygon-exterior-20_150_41e0c5f0.instance.json       165                      179                      72                       0.225502                 573                      
challenge_instances/simple-polygon-exterior_40_ca26cbd4.instance.json           45                       52                       22                       0.213525                 167                      
challenge_instances/simple-polygon-exterior-20_80_889602ae.instance.json        86                       107                      40                       0.252637                 341                      
challenge_instances/simple-polygon-exterior_150_1301b82e.instance.json          164                      184                      75                       0.193391                 589.5                    
challenge_instances/simple-polygon-exterior_40_785575e7.instance.json           33                       30                       19                       0.122669                 99.5                     
