File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/ortho_40_56a6f463.instance.json                             23                       4                        27                       -0.786402                25.5                     
challenge_instances/ortho_10_d2723dcc.instance.json                             4                        2                        4                        0                        8                        
challenge_instances/ortho_40_df58ce3b.instance.json                             13                       7                        13                       -0.151166                27.5                     
challenge_instances/ortho_60_5c5796a0.instance.json                             31                       26                       25                       0.100853                 90.5                     
challenge_instances/ortho_20_e2aff192.instance.json                             6                        7                        1                        0                        21.5                     
challenge_instances/ortho_60_c423f527.instance.json                             27                       13                       23                       -0.23015                 50.5                     
challenge_instances/ortho_100_bd1e4a14.instance.json                            43                       33                       34                       0.019741                 116                      
challenge_instances/ortho_60_f744490d.instance.json                             23                       13                       23                       -0.326477                50.5                     
challenge_instances/ortho_20_5a9e8244.instance.json                             9                        3                        8                        -0.849704                13                       
challenge_instances/ortho_80_06ee55d4.instance.json                             36                       22                       34                       -0.121727                83                       
challenge_instances/ortho_150_53eb4022.instance.json                            56                       48                       41                       0.0582221                164.5                    
challenge_instances/ortho_250_6e6a66c2.instance.json                            122                      108                      90                       0.22442                  369                      
challenge_instances/ortho_250_3b977f7e.instance.json                            109                      98                       80                       0.223183                 334                      
