File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/simple-polygon_10_272aa6ea.instance.json                    4                        1                        5                        -0.602355                5.5                      
challenge_instances/simple-polygon_10_f2c8d74a.instance.json                    5                        6                        2                        0                        19                       
challenge_instances/simple-polygon_20_0dda68ed.instance.json                    13                       3                        15                       -0.562848                16.5                     
challenge_instances/simple-polygon_40_12969fc3.instance.json                    23                       15                       22                       -0.0879224               56                       
challenge_instances/simple-polygon_100_4ee8f447.instance.json                   49                       37                       40                       -0.0443038               131                      
challenge_instances/simple-polygon_100_cb23308c.instance.json                   74                       58                       59                       0.0783583                203.5                    
challenge_instances/simple-polygon_60_17af118a.instance.json                    21                       15                       17                       -0.0432508               53.5                     
challenge_instances/simple-polygon_150_b42a5724.instance.json                   109                      128                      55                       0.255112                 411.5                    
challenge_instances/simple-polygon_150_743d6b9c.instance.json                   85                       81                       60                       0.264841                 273                      
challenge_instances/simple-polygon_100_6101abad.instance.json                   37                       26                       35                       0.0247045                95.5                     
challenge_instances/simple-polygon_60_0347cd75.instance.json                    33                       30                       24                       0.148501                 102                      
challenge_instances/simple-polygon_80_7b8f6c4c.instance.json                    22                       16                       28                       -0.101837                62                       
challenge_instances/simple-polygon_20_4bd3c2e5.instance.json                    10                       2                        9                        -0.819521                10.5                     
challenge_instances/simple-polygon_80_48c9df87.instance.json                    42                       20                       45                       -0.278753                82.5                     
challenge_instances/simple-polygon_10_297edd18.instance.json                    6                        4                        5                        -0.157608                14.5                     
challenge_instances/simple-polygon_150_f24b0f8e.instance.json                   48                       32                       46                       -0.076308                119                      
challenge_instances/simple-polygon_100_4b4ba391.instance.json                   23                       15                       20                       -0.224251                55                       
challenge_instances/simple-polygon_20_35585ee3.instance.json                    8                        6                        8                        -0.257398                22                       
challenge_instances/simple-polygon_250_432b4814.instance.json                   128                      124                      74                       0.260784                 409                      
challenge_instances/simple-polygon_250_6e9d9c26.instance.json                   51                       46                       35                       -0.0125722               155.5                    
challenge_instances/simple-polygon_150_c0cf1e9c.instance.json                   74                       69                       55                       0.19397                  234.5                    
challenge_instances/simple-polygon_250_c02755d7.instance.json                   119                      99                       85                       0.15353                  339.5                    
