File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/ortho_20_e2aff192.instance.json                             6                        2                        4                        -0.81362                 8                        
challenge_instances/ortho_60_5c5796a0.instance.json                             31                       15                       12                       -0.416281                51                       
challenge_instances/ortho_40_df58ce3b.instance.json                             13                       6                        6                        -0.539714                21                       
challenge_instances/ortho_20_5a9e8244.instance.json                             9                        4                        5                        -0.551647                14.5                     
challenge_instances/ortho_10_d2723dcc.instance.json                             4                        2                        1                        0                        6.5                      
challenge_instances/ortho_40_56a6f463.instance.json                             23                       5                        17                       -0.971439                23.5                     
challenge_instances/ortho_60_c423f527.instance.json                             27                       10                       15                       -0.642359                37.5                     
challenge_instances/ortho_80_06ee55d4.instance.json                             36                       20                       13                       -0.386304                66.5                     
challenge_instances/ortho_60_f744490d.instance.json                             23                       13                       9                        -0.338361                43.5                     
challenge_instances/ortho_100_bd1e4a14.instance.json                            43                       23                       18                       -0.362559                78                       
challenge_instances/ortho_150_53eb4022.instance.json                            56                       39                       16                       -0.199812                125                      
challenge_instances/ortho_250_3b977f7e.instance.json                            109                      52                       44                       -0.432465                178                      
challenge_instances/ortho_250_6e6a66c2.instance.json                            122                      49                       57                       -0.510117                175.5                    
