File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/simple-polygon_20_35585ee3.instance.json                    8                        4                        4                        -0.482571                14                       
challenge_instances/simple-polygon_20_4bd3c2e5.instance.json                    10                       4                        3                        -0.611196                13.5                     
challenge_instances/simple-polygon_10_272aa6ea.instance.json                    4                        1                        3                        -1.14724                 4.5                      
challenge_instances/simple-polygon_40_12969fc3.instance.json                    23                       12                       11                       -0.39271                 41.5                     
challenge_instances/simple-polygon_80_7b8f6c4c.instance.json                    22                       8                        13                       -0.616629                30.5                     
challenge_instances/simple-polygon_60_0347cd75.instance.json                    33                       15                       15                       -0.472212                52.5                     
challenge_instances/simple-polygon_100_4ee8f447.instance.json                   49                       31                       18                       -0.259816                102                      
challenge_instances/simple-polygon_150_743d6b9c.instance.json                   85                       37                       38                       -0.479101                130                      
challenge_instances/simple-polygon_250_6e9d9c26.instance.json                   51                       27                       21                       -0.363542                91.5                     
challenge_instances/simple-polygon_10_f2c8d74a.instance.json                    5                        5                        0                        0                        15                       
challenge_instances/simple-polygon_60_17af118a.instance.json                    21                       12                       6                        -0.337799                39                       
challenge_instances/simple-polygon_80_48c9df87.instance.json                    42                       21                       19                       -0.388027                72.5                     
challenge_instances/simple-polygon_100_6101abad.instance.json                   37                       18                       18                       -0.429842                63                       
challenge_instances/simple-polygon_150_c0cf1e9c.instance.json                   74                       29                       40                       -0.555418                107                      
challenge_instances/simple-polygon_100_4b4ba391.instance.json                   23                       9                        13                       -0.575243                33.5                     
challenge_instances/simple-polygon_150_f24b0f8e.instance.json                   48                       26                       20                       -0.35456                 88                       
challenge_instances/simple-polygon_10_297edd18.instance.json                    6                        2                        3                        -0.707519                7.5                      
challenge_instances/simple-polygon_20_0dda68ed.instance.json                    13                       4                        8                        -0.729217                16                       
challenge_instances/simple-polygon_100_cb23308c.instance.json                   74                       51                       20                       -0.187854                163                      
challenge_instances/simple-polygon_150_b42a5724.instance.json                   109                      69                       35                       -0.247192                224.5                    
challenge_instances/simple-polygon_250_432b4814.instance.json                   128                      63                       45                       -0.385456                211.5                    
challenge_instances/simple-polygon_250_c02755d7.instance.json                   119                      58                       52                       -0.405044                200                      
