File:                                                       Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/point-set_20_0c4009d9.instance.json     26                       12                       40                       -2.24275                 56                       
challenge_instances/point-set_80_ff15444b.instance.json     86                       65                       40                       -3.58411                 215                      
challenge_instances/point-set_100_05594822.instance.json    111                      83                       40                       -3.9217                  269                      
challenge_instances/point-set_80_8383fead.instance.json     86                       65                       40                       -3.65586                 215                      
challenge_instances/point-set_150_982c9ab3.instance.json    198                      178                      40                       -4.57282                 554                      
challenge_instances/point-set_10_7451a2a9.instance.json     5                        1                        8                        0.322556                 7                        
challenge_instances/point-set_10_f999dc7f.instance.json     10                       1                        10                       -0.625152                8                        
challenge_instances/point-set_40_9451c229.instance.json     34                       13                       40                       -2.40981                 59                       
challenge_instances/point-set_80_1675b331.instance.json     54                       38                       40                       -3.14027                 134                      
challenge_instances/point-set_100_dd67678e.instance.json    89                       73                       40                       -3.73691                 239                      
challenge_instances/point-set_80_837b0f11.instance.json     105                      90                       40                       -3.90226                 290                      
challenge_instances/point-set_20_fa3fd7e0.instance.json     15                       2                        30                       -1.22102                 21                       
challenge_instances/point-set_20_72cd2066.instance.json     21                       4                        37                       19.1659                  30.5                     
challenge_instances/point-set_20_54ab0b47.instance.json     18                       3                        31                       -0.966967                24.5                     
challenge_instances/point-set_80_d77fb670.instance.json     68                       49                       40                       -3.34125                 167                      
challenge_instances/point-set_60_74409a1d.instance.json     59                       35                       40                       -3.12078                 125                      
challenge_instances/point-set_60_27bc003d.instance.json     65                       49                       40                       -3.36288                 167                      
challenge_instances/point-set_60_ac318d72.instance.json     64                       44                       40                       -3.24496                 152                      
challenge_instances/point-set_10_d009159f.instance.json     8                        6                        13                       -0.0485436               24.5                     
challenge_instances/point-set_250_3c338713.instance.json    257                      232                      40                       -4.84151                 716                      
challenge_instances/point-set_10_13860916.instance.json     11                       1                        12                       -0.292754                9                        
challenge_instances/point-set_10_97578aae.instance.json     6                        2                        13                       -0.2301                  12.5                     
challenge_instances/point-set_40_8cbf31aa.instance.json     30                       13                       40                       -2.36491                 59                       
challenge_instances/point-set_40_ae33a7ea.instance.json     38                       26                       40                       -2.72568                 98                       
challenge_instances/point-set_60_2ff8f975.instance.json     72                       57                       40                       -3.47626                 191                      
challenge_instances/point-set_150_b26a2c80.instance.json    153                      132                      40                       -4.29932                 416                      
challenge_instances/point-set_60_9fc02edd.instance.json     80                       54                       40                       -3.49878                 182                      
challenge_instances/point-set_10_4bcb7c21.instance.json     6                        1                        15                       -0.744032                10.5                     
challenge_instances/point-set_20_41c48315.instance.json     20                       7                        40                       -1.8248                  41                       
challenge_instances/point-set_40_1b92b629.instance.json     40                       24                       40                       -2.73708                 92                       
challenge_instances/point-set_20_34a047f7.instance.json     23                       17                       40                       -2.23168                 71                       
challenge_instances/point-set_20_5868538a.instance.json     15                       6                        40                       19.1239                  38                       
challenge_instances/point-set_150_20bcb550.instance.json    118                      97                       40                       -4.01249                 311                      
challenge_instances/point-set_250_93dd622a.instance.json    121                      100                      40                       -4.03445                 320                      
challenge_instances/point-set_40_f511c8ce.instance.json     44                       31                       40                       -2.89794                 113                      
challenge_instances/point-set_100_0245ce31.instance.json    32                       14                       40                       -2.40485                 62                       
challenge_instances/point-set_80_9a8373fb.instance.json     35                       15                       40                       -2.50529                 65                       
challenge_instances/point-set_150_1fb326cf.instance.json    164                      150                      40                       -4.38042                 470                      
challenge_instances/point-set_10_ae0fff93.instance.json     6                        1                        21                       9.67885                  13.5                     
challenge_instances/point-set_10_c04b0024.instance.json     9                        3                        40                       -0.810451                29                       
