File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/simple-polygon-exterior-20_20_eb63a5b6.instance.json        21                       13                       6                        -0.326631                42                       
challenge_instances/simple-polygon-exterior-20_20_1e719235.instance.json        25                       15                       10                       -0.304309                50                       
challenge_instances/simple-polygon-exterior-20_40_84415804.instance.json        36                       26                       9                        -0.181876                82.5                     
challenge_instances/simple-polygon-exterior-20_10_8c4306da.instance.json        8                        4                        4                        -0.482571                14                       
challenge_instances/simple-polygon-exterior-20_40_b9ab4f03.instance.json        47                       26                       19                       -0.323716                87.5                     
challenge_instances/simple-polygon-exterior_20_ff791267.instance.json           25                       21                       4                        -0.110913                65                       
challenge_instances/simple-polygon-exterior_40_7685a35e.instance.json           37                       27                       8                        -0.162083                85                       
challenge_instances/simple-polygon-exterior_60_8670ab75.instance.json           61                       29                       27                       -0.41935                 100.5                    
challenge_instances/simple-polygon-exterior_80_22d34c7e.instance.json           89                       52                       32                       -0.302846                172                      
challenge_instances/simple-polygon-exterior_10_74050e4d.instance.json           7                        3                        4                        -0.604458                11                       
challenge_instances/simple-polygon-exterior-20_100_7ed1ca87.instance.json       113                      69                       36                       -0.268313                225                      
challenge_instances/simple-polygon-exterior_150_89d077ac.instance.json          141                      88                       42                       -0.252866                285                      
challenge_instances/simple-polygon-exterior-20_40_5faf6985.instance.json        34                       20                       12                       -0.301379                66                       
challenge_instances/simple-polygon-exterior-20_100_c256488f.instance.json       113                      71                       37                       -0.252518                231.5                    
challenge_instances/simple-polygon-exterior_10_c5616894.instance.json           12                       11                       1                        0                        33.5                     
challenge_instances/simple-polygon-exterior_100_f1740925.instance.json          101                      67                       28                       -0.227404                215                      
challenge_instances/simple-polygon-exterior-20_20_52abeef5.instance.json        24                       15                       8                        -0.287247                49                       
challenge_instances/simple-polygon-exterior_10_a5f0f2fc.instance.json           7                        4                        3                        -0.406687                13.5                     
challenge_instances/simple-polygon-exterior-20_60_53ad6d23.instance.json        45                       24                       20                       -0.362649                82                       
challenge_instances/simple-polygon-exterior-20_150_7768dd44.instance.json       161                      91                       52                       -0.303945                299                      
challenge_instances/simple-polygon-exterior-20_250_4441b4ca.instance.json       248                      155                      75                       -0.252981                502.5                    
challenge_instances/simple-polygon-exterior_10_40642b31.instance.json           7                        6                        1                        0                        18.5                     
