File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/simple-polygon_10_272aa6ea.instance.json                    4                        1                        3                        -1.14724                 4.5                      
challenge_instances/simple-polygon_10_f2c8d74a.instance.json                    5                        5                        0                        0                        15                       
challenge_instances/simple-polygon_20_0dda68ed.instance.json                    13                       4                        8                        -0.729217                16                       
challenge_instances/simple-polygon_40_12969fc3.instance.json                    23                       12                       11                       -0.39271                 41.5                     
challenge_instances/simple-polygon_100_4ee8f447.instance.json                   49                       30                       18                       -0.284762                99                       
challenge_instances/simple-polygon_100_cb23308c.instance.json                   74                       51                       20                       -0.191674                163                      
challenge_instances/simple-polygon_60_17af118a.instance.json                    21                       12                       6                        -0.337799                39                       
challenge_instances/simple-polygon_100_6101abad.instance.json                   37                       18                       18                       -0.432245                63                       
challenge_instances/simple-polygon_150_f24b0f8e.instance.json                   48                       25                       21                       -0.377026                85.5                     
challenge_instances/simple-polygon_80_7b8f6c4c.instance.json                    22                       7                        14                       -0.7078                  28                       
challenge_instances/simple-polygon_60_0347cd75.instance.json                    33                       12                       18                       -0.619281                45                       
challenge_instances/simple-polygon_20_4bd3c2e5.instance.json                    10                       4                        3                        -0.611196                13.5                     
challenge_instances/simple-polygon_150_743d6b9c.instance.json                   85                       31                       44                       -0.581297                115                      
challenge_instances/simple-polygon_80_48c9df87.instance.json                    42                       20                       20                       -0.420603                70                       
challenge_instances/simple-polygon_10_297edd18.instance.json                    6                        2                        3                        -0.707519                7.5                      
challenge_instances/simple-polygon_250_6e9d9c26.instance.json                   51                       24                       24                       -0.434461                84                       
challenge_instances/simple-polygon_100_4b4ba391.instance.json                   23                       7                        15                       -0.749176                28.5                     
challenge_instances/simple-polygon_20_35585ee3.instance.json                    8                        4                        4                        -0.482571                14                       
challenge_instances/simple-polygon_150_c0cf1e9c.instance.json                   74                       28                       40                       -0.587389                104                      
challenge_instances/simple-polygon_150_b42a5724.instance.json                   109                      66                       38                       -0.272973                217                      
challenge_instances/simple-polygon_250_432b4814.instance.json                   128                      56                       52                       -0.453372                194                      
challenge_instances/simple-polygon_250_c02755d7.instance.json                   119                      59                       52                       -0.392406                203                      
