File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/point-set_10_f999dc7f.instance.json                         10                       6                        10                       -0.155514                23                       
challenge_instances/point-set_10_ae0fff93.instance.json                         6                        5                        3                        0.114206                 16.5                     
challenge_instances/point-set_40_f511c8ce.instance.json                         44                       48                       27                       0.249723                 157.5                    
challenge_instances/point-set_40_ae33a7ea.instance.json                         38                       34                       29                       0.0802722                116.5                    
challenge_instances/point-set_20_41c48315.instance.json                         20                       15                       15                       0.0273418                52.5                     
challenge_instances/point-set_40_8cbf31aa.instance.json                         30                       31                       22                       0.267121                 104                      
challenge_instances/point-set_10_97578aae.instance.json                         6                        3                        5                        -0.330166                11.5                     
challenge_instances/point-set_10_d009159f.instance.json                         8                        6                        8                        -0.0235622               22                       
challenge_instances/point-set_60_74409a1d.instance.json                         59                       49                       50                       0.0884831                172                      
challenge_instances/point-set_20_54ab0b47.instance.json                         18                       12                       16                       -0.0119585               44                       
challenge_instances/point-set_60_9fc02edd.instance.json                         80                       69                       53                       0.116159                 233.5                    
challenge_instances/point-set_60_2ff8f975.instance.json                         72                       76                       47                       0.285534                 251.5                    
challenge_instances/point-set_80_837b0f11.instance.json                         105                      109                      66                       0.288914                 360                      
challenge_instances/point-set_40_9451c229.instance.json                         34                       22                       40                       0.0216556                86                       
challenge_instances/point-set_40_1b92b629.instance.json                         40                       42                       25                       0.265132                 138.5                    
challenge_instances/point-set_20_5868538a.instance.json                         15                       10                       12                       -0.183081                36                       
challenge_instances/point-set_100_05594822.instance.json                        111                      113                      73                       0.278307                 375.5                    
challenge_instances/point-set_80_8383fead.instance.json                         86                       86                       55                       0.238874                 285.5                    
challenge_instances/point-set_80_d77fb670.instance.json                         68                       41                       69                       -0.0804598               157.5                    
challenge_instances/point-set_10_7451a2a9.instance.json                         5                        4                        4                        0.0230511                14                       
challenge_instances/point-set_20_fa3fd7e0.instance.json                         15                       11                       9                        0.0520987                37.5                     
challenge_instances/point-set_80_9a8373fb.instance.json                         35                       23                       33                       0.0962263                85.5                     
challenge_instances/point-set_60_ac318d72.instance.json                         64                       61                       42                       0.267826                 204                      
challenge_instances/point-set_20_0c4009d9.instance.json                         26                       31                       15                       0.275152                 100.5                    
challenge_instances/point-set_10_c04b0024.instance.json                         9                        3                        10                       -0.407384                14                       
challenge_instances/point-set_20_34a047f7.instance.json                         23                       20                       16                       0.0898994                68                       
challenge_instances/point-set_80_1675b331.instance.json                         54                       55                       35                       0.305256                 182.5                    
challenge_instances/point-set_60_27bc003d.instance.json                         65                       64                       50                       0.000682794              217                      
challenge_instances/point-set_100_dd67678e.instance.json                        89                       90                       55                       0.23628                  297.5                    
challenge_instances/point-set_100_0245ce31.instance.json                        32                       21                       31                       0.131339                 78.5                     
challenge_instances/point-set_150_1fb326cf.instance.json                        164                      160                      116                      0.115176                 538                      
challenge_instances/point-set_10_13860916.instance.json                         11                       9                        7                        0.166675                 30.5                     
challenge_instances/point-set_10_4bcb7c21.instance.json                         6                        2                        5                        -0.610215                8.5                      
challenge_instances/point-set_150_b26a2c80.instance.json                        153                      165                      89                       0.307308                 539.5                    
challenge_instances/point-set_20_72cd2066.instance.json                         21                       16                       15                       0.21424                  55.5                     
challenge_instances/point-set_80_ff15444b.instance.json                         86                       95                       51                       0.305393                 310.5                    
challenge_instances/point-set_150_20bcb550.instance.json                        118                      89                       96                       0.0247371                315                      
challenge_instances/point-set_150_982c9ab3.instance.json                        198                      244                      97                       0.277635                 780.5                    
challenge_instances/point-set_250_93dd622a.instance.json                        121                      145                      61                       0.31221                  465.5                    
challenge_instances/point-set_250_3c338713.instance.json                        257                      273                      154                      0.300268                 896                      
