File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/simple-polygon-exterior-20_20_eb63a5b6.instance.json        21                       23                       11                       0.308121                 74.5                     
challenge_instances/simple-polygon-exterior-20_20_1e719235.instance.json        25                       16                       17                       -0.150263                56.5                     
challenge_instances/simple-polygon-exterior-20_40_84415804.instance.json        36                       35                       22                       0.158031                 116                      
challenge_instances/simple-polygon-exterior-20_10_8c4306da.instance.json        8                        5                        8                        0.0410937                19                       
challenge_instances/simple-polygon-exterior-20_40_b9ab4f03.instance.json        47                       44                       32                       0.251584                 148                      
challenge_instances/simple-polygon-exterior_20_ff791267.instance.json           25                       27                       11                       0.185416                 86.5                     
challenge_instances/simple-polygon-exterior_40_7685a35e.instance.json           37                       34                       21                       0.125084                 112.5                    
challenge_instances/simple-polygon-exterior_60_8670ab75.instance.json           61                       44                       47                       0.094419                 155.5                    
challenge_instances/simple-polygon-exterior_80_22d34c7e.instance.json           89                       99                       50                       0.295502                 322                      
challenge_instances/simple-polygon-exterior_10_74050e4d.instance.json           7                        4                        5                        -0.131037                14.5                     
challenge_instances/simple-polygon-exterior-20_100_7ed1ca87.instance.json       113                      130                      57                       0.282747                 418.5                    
challenge_instances/simple-polygon-exterior-20_100_c256488f.instance.json       113                      127                      65                       0.28298                  413.5                    
challenge_instances/simple-polygon-exterior-20_40_5faf6985.instance.json        34                       30                       23                       0.17153                  101.5                    
challenge_instances/simple-polygon-exterior_150_89d077ac.instance.json          141                      140                      90                       0.241898                 465                      
challenge_instances/simple-polygon-exterior_10_c5616894.instance.json           12                       12                       7                        0.0230337                39.5                     
challenge_instances/simple-polygon-exterior-20_150_7768dd44.instance.json       161                      175                      85                       0.287478                 567.5                    
challenge_instances/simple-polygon-exterior-20_20_52abeef5.instance.json        24                       23                       16                       0.207138                 77                       
challenge_instances/simple-polygon-exterior_10_a5f0f2fc.instance.json           7                        6                        4                        0.198682                 20                       
challenge_instances/simple-polygon-exterior_100_f1740925.instance.json          101                      116                      52                       0.295419                 374                      
challenge_instances/simple-polygon-exterior-20_60_53ad6d23.instance.json        45                       34                       38                       0.124896                 121                      
challenge_instances/simple-polygon-exterior-20_250_4441b4ca.instance.json       248                      285                      126                      0.289042                 918                      
challenge_instances/simple-polygon-exterior_10_40642b31.instance.json           7                        6                        3                        -0.078895                19.5                     
challenge_instances/simple-polygon-exterior-20_60_8221c868.instance.json        73                       88                       35                       0.295403                 281.5                    
challenge_instances/simple-polygon-exterior_80_d87f15e8.instance.json           87                       83                       60                       0.240425                 279                      
challenge_instances/simple-polygon-exterior-20_250_eb5ab92f.instance.json       253                      267                      151                      0.258807                 876.5                    
challenge_instances/simple-polygon-exterior_20_92dcd467.instance.json           15                       16                       6                        0.207682                 51                       
challenge_instances/simple-polygon-exterior_10_8b098f5e.instance.json           9                        11                       4                        0.374905                 35                       
challenge_instances/simple-polygon-exterior_20_7520a1da.instance.json           16                       11                       16                       -0.00943235              41                       
challenge_instances/simple-polygon-exterior_10_310dc6c7.instance.json           5                        3                        5                        0.274721                 11.5                     
challenge_instances/simple-polygon-exterior-20_100_8bfbe418.instance.json       105                      100                      73                       0.252348                 336.5                    
challenge_instances/simple-polygon-exterior-20_60_28a85662.instance.json        76                       63                       49                       0.049019                 213.5                    
challenge_instances/simple-polygon-exterior-20_60_e6f13145.instance.json        82                       93                       47                       0.266453                 302.5                    
challenge_instances/simple-polygon-exterior-20_10_868921c7.instance.json        7                        1                        8                        -1.44942                 7                        
challenge_instances/simple-polygon-exterior_60_494df14f.instance.json           69                       80                       37                       0.306773                 258.5                    
challenge_instances/simple-polygon-exterior_40_11434792.instance.json           45                       44                       31                       0.252327                 147.5                    
challenge_instances/simple-polygon-exterior-20_80_1c5fcde7.instance.json        87                       68                       71                       0.0942003                239.5                    
challenge_instances/simple-polygon-exterior_20_87cff693.instance.json           20                       19                       14                       0.219623                 64                       
challenge_instances/simple-polygon-exterior-20_150_41e0c5f0.instance.json       165                      181                      94                       0.285825                 590                      
challenge_instances/simple-polygon-exterior-20_40_317d3f6d.instance.json        30                       22                       22                       -0.0670732               77                       
challenge_instances/simple-polygon-exterior_250_3f7ba0d3.instance.json          280                      311                      157                      0.274213                 1011.5                   
challenge_instances/simple-polygon-exterior-20_20_0f96fb2c.instance.json        19                       18                       13                       0.16601                  60.5                     
challenge_instances/simple-polygon-exterior_40_ff947945.instance.json           49                       37                       36                       0.134887                 129                      
challenge_instances/simple-polygon-exterior-20_60_57cd1db6.instance.json        64                       54                       48                       0.111225                 186                      
challenge_instances/simple-polygon-exterior-20_80_889602ae.instance.json        86                       105                      38                       0.288128                 334                      
challenge_instances/simple-polygon-exterior_40_ca26cbd4.instance.json           45                       56                       19                       0.27316                  177.5                    
challenge_instances/simple-polygon-exterior_40_785575e7.instance.json           33                       27                       25                       0.189032                 93.5                     
challenge_instances/simple-polygon-exterior-20_20_e64ff8fc.instance.json        22                       20                       15                       0.15879                  67.5                     
challenge_instances/simple-polygon-exterior-20_40_8ad14096.instance.json        39                       40                       21                       0.110638                 130.5                    
challenge_instances/simple-polygon-exterior_150_1301b82e.instance.json          164                      160                      109                      0.23167                  534.5                    
challenge_instances/simple-polygon-exterior_60_ba2c82c0.instance.json           47                       37                       35                       0.163463                 128.5                    
challenge_instances/simple-polygon-exterior_20_2a7302a0.instance.json           16                       11                       18                       0.0926813                42                       
challenge_instances/simple-polygon-exterior-20_250_0c9fa44e.instance.json       289                      297                      185                      0.282746                 983.5                    
challenge_instances/simple-polygon-exterior-20_20_c27f41dd.instance.json        20                       19                       14                       0.352522                 64                       
challenge_instances/simple-polygon-exterior-20_10_c6728228.instance.json        8                        5                        8                        -0.0168268               19                       
challenge_instances/simple-polygon-exterior-20_10_15783346.instance.json        7                        8                        2                        0.415037                 25                       
challenge_instances/simple-polygon-exterior_60_881cf585.instance.json           75                       88                       34                       0.266201                 281                      
challenge_instances/simple-polygon-exterior_60_1a49dffa.instance.json           58                       57                       34                       0.186563                 188                      
challenge_instances/simple-polygon-exterior_20_c820ed5d.instance.json           21                       22                       12                       0.240522                 72                       
challenge_instances/simple-polygon-exterior-20_250_823ed1ae.instance.json       283                      281                      189                      0.241391                 937.5                    
challenge_instances/simple-polygon-exterior-20_10_46c44a43.instance.json        8                        6                        8                        -0.0235622               22                       
challenge_instances/simple-polygon-exterior_100_37aaf06f.instance.json          121                      127                      79                       0.26385                  420.5                    
challenge_instances/simple-polygon-exterior-20_80_f6e462fb.instance.json        90                       103                      50                       0.285258                 334                      
challenge_instances/simple-polygon-exterior-20_60_6088b7a9.instance.json        58                       54                       34                       0.154762                 179                      
challenge_instances/simple-polygon-exterior-20_40_65de7236.instance.json        41                       40                       23                       0.204991                 131.5                    
challenge_instances/simple-polygon-exterior_100_686dd044.instance.json          111                      109                      66                       0.217706                 360                      
challenge_instances/simple-polygon-exterior_150_fb998503.instance.json          176                      189                      103                      0.281396                 618.5                    
challenge_instances/simple-polygon-exterior_250_c0a19392.instance.json          302                      343                      165                      0.286685                 1111.5                   
challenge_instances/simple-polygon-exterior_250_a97729dd.instance.json          259                      286                      137                      0.253586                 926.5                    
