File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/simple-polygon_10_272aa6ea.instance.json                    4                        1                        5                        -0.747834                5.5                      
challenge_instances/simple-polygon_10_f2c8d74a.instance.json                    5                        6                        2                        -0.222392                19                       
challenge_instances/simple-polygon_20_0dda68ed.instance.json                    13                       5                        14                       -0.204453                22                       
challenge_instances/simple-polygon_40_12969fc3.instance.json                    23                       15                       24                       -0.00147631              57                       
challenge_instances/simple-polygon_100_4ee8f447.instance.json                   49                       27                       52                       -0.200318                107                      
challenge_instances/simple-polygon_100_cb23308c.instance.json                   74                       53                       65                       -0.0306732               191.5                    
challenge_instances/simple-polygon_60_17af118a.instance.json                    21                       11                       17                       -0.167108                41.5                     
challenge_instances/simple-polygon_100_6101abad.instance.json                   37                       17                       42                       -0.246066                72                       
challenge_instances/simple-polygon_150_743d6b9c.instance.json                   85                       51                       77                       0.0166655                191.5                    
challenge_instances/simple-polygon_80_7b8f6c4c.instance.json                    22                       12                       24                       -0.0236743               48                       
challenge_instances/simple-polygon_60_0347cd75.instance.json                    33                       16                       32                       -0.25553                 64                       
challenge_instances/simple-polygon_20_4bd3c2e5.instance.json                    10                       5                        7                        -0.0675967               18.5                     
challenge_instances/simple-polygon_250_6e9d9c26.instance.json                   51                       44                       37                       0.239954                 150.5                    
challenge_instances/simple-polygon_150_f24b0f8e.instance.json                   48                       33                       49                       0.0268297                123.5                    
challenge_instances/simple-polygon_10_297edd18.instance.json                    6                        2                        6                        -0.503748                9                        
challenge_instances/simple-polygon_80_48c9df87.instance.json                    42                       21                       43                       -0.153012                84.5                     
challenge_instances/simple-polygon_100_4b4ba391.instance.json                   23                       12                       21                       -0.103684                46.5                     
challenge_instances/simple-polygon_20_35585ee3.instance.json                    8                        6                        8                        0.0568115                22                       
challenge_instances/simple-polygon_150_c0cf1e9c.instance.json                   74                       37                       77                       -0.0954205               149.5                    
challenge_instances/simple-polygon_150_b42a5724.instance.json                   109                      83                       109                      0.0122349                303.5                    
challenge_instances/simple-polygon_250_c02755d7.instance.json                   119                      107                      86                       0.268233                 364                      
challenge_instances/simple-polygon_250_432b4814.instance.json                   128                      71                       115                      -0.0438367               270.5                    
