File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/simple-polygon-exterior_60_8670ab75.instance.json           61                       23                       140                      -0.448066                139                      
challenge_instances/simple-polygon-exterior_150_89d077ac.instance.json          141                      79                       174                      -0.341912                324                      
challenge_instances/simple-polygon-exterior-20_40_b9ab4f03.instance.json        47                       13                       134                      -0.690837                106                      
challenge_instances/simple-polygon-exterior-20_250_eb5ab92f.instance.json       253                      161                      197                      -0.305028                581.5                    
challenge_instances/simple-polygon-exterior-20_250_4441b4ca.instance.json       248                      162                      200                      -0.270414                586                      
challenge_instances/simple-polygon-exterior_20_ff791267.instance.json           25                       12                       79                       -0.507078                75.5                     
challenge_instances/simple-polygon-exterior-20_20_1e719235.instance.json        25                       8                        99                       -0.570322                73.5                     
challenge_instances/simple-polygon-exterior_40_7685a35e.instance.json           37                       12                       130                      -0.680306                101                      
challenge_instances/simple-polygon-exterior-20_100_7ed1ca87.instance.json       113                      68                       175                      -0.308258                291.5                    
challenge_instances/simple-polygon-exterior_10_74050e4d.instance.json           7                        1                        6                        -1.75252                 6                        
challenge_instances/simple-polygon-exterior_80_22d34c7e.instance.json           89                       40                       161                      -0.452984                200.5                    
challenge_instances/simple-polygon-exterior-20_150_7768dd44.instance.json       161                      101                      180                      -0.2694                  393                      
challenge_instances/simple-polygon-exterior-20_100_c256488f.instance.json       113                      72                       172                      -0.234236                302                      
challenge_instances/simple-polygon-exterior-20_40_5faf6985.instance.json        34                       12                       91                       -0.557015                81.5                     
challenge_instances/simple-polygon-exterior_10_c5616894.instance.json           12                       3                        35                       -1.15112                 26.5                     
challenge_instances/simple-polygon-exterior-20_250_823ed1ae.instance.json       283                      201                      200                      -0.24819                 703                      
challenge_instances/simple-polygon-exterior_100_f1740925.instance.json          101                      67                       164                      -0.161994                283                      
challenge_instances/simple-polygon-exterior-20_20_52abeef5.instance.json        24                       6                        71                       -0.804273                53.5                     
challenge_instances/simple-polygon-exterior-20_60_53ad6d23.instance.json        45                       13                       138                      -0.494915                108                      
challenge_instances/simple-polygon-exterior-20_250_0c9fa44e.instance.json       289                      190                      200                      -0.267567                670                      
challenge_instances/simple-polygon-exterior_250_3f7ba0d3.instance.json          280                      197                      200                      -0.267219                691                      
challenge_instances/simple-polygon-exterior_10_40642b31.instance.json           7                        2                        13                       -0.842793                12.5                     
challenge_instances/simple-polygon-exterior-20_60_8221c868.instance.json        73                       40                       161                      -0.346333                200.5                    
challenge_instances/simple-polygon-exterior_80_d87f15e8.instance.json           87                       54                       165                      -0.227808                244.5                    
challenge_instances/simple-polygon-exterior_250_c0a19392.instance.json          302                      215                      200                      -0.236152                745                      
challenge_instances/simple-polygon-exterior_20_92dcd467.instance.json           15                       6                        70                       -0.484773                53                       
challenge_instances/simple-polygon-exterior-20_10_8c4306da.instance.json        8                        1                        29                       -1.56572                 17.5                     
challenge_instances/simple-polygon-exterior_20_7520a1da.instance.json           16                       4                        38                       -0.837446                31                       
challenge_instances/simple-polygon-exterior_10_310dc6c7.instance.json           5                        0                        15                       -0.792898                7.5                      
challenge_instances/simple-polygon-exterior-20_100_8bfbe418.instance.json       105                      47                       175                      -0.521967                228.5                    
challenge_instances/simple-polygon-exterior-20_60_28a85662.instance.json        76                       51                       156                      -0.186328                231                      
challenge_instances/simple-polygon-exterior-20_60_e6f13145.instance.json        82                       56                       158                      -0.196736                247                      
challenge_instances/simple-polygon-exterior-20_10_868921c7.instance.json        7                        1                        16                       -1.28072                 11                       
challenge_instances/simple-polygon-exterior_60_494df14f.instance.json           69                       33                       157                      -0.450241                177.5                    
challenge_instances/simple-polygon-exterior_40_11434792.instance.json           45                       15                       107                      -0.472018                98.5                     
challenge_instances/simple-polygon-exterior-20_80_1c5fcde7.instance.json        87                       51                       164                      -0.266039                235                      
challenge_instances/simple-polygon-exterior-20_20_eb63a5b6.instance.json        21                       9                        122                      -0.601402                88                       
challenge_instances/simple-polygon-exterior-20_150_41e0c5f0.instance.json       165                      94                       184                      -0.323809                374                      
challenge_instances/simple-polygon-exterior-20_40_317d3f6d.instance.json        30                       8                        96                       -0.317898                72                       
challenge_instances/simple-polygon-exterior_150_1301b82e.instance.json          164                      110                      180                      -0.250487                420                      
challenge_instances/simple-polygon-exterior-20_20_0f96fb2c.instance.json        19                       5                        57                       -0.642516                43.5                     
challenge_instances/simple-polygon-exterior_40_ff947945.instance.json           49                       25                       139                      -0.236201                144.5                    
challenge_instances/simple-polygon-exterior-20_60_57cd1db6.instance.json        64                       34                       155                      -0.385366                179.5                    
challenge_instances/simple-polygon-exterior-20_80_889602ae.instance.json        86                       34                       165                      -0.58336                 184.5                    
challenge_instances/simple-polygon-exterior_40_ca26cbd4.instance.json           45                       16                       134                      -0.77448                 115                      
challenge_instances/simple-polygon-exterior_40_785575e7.instance.json           33                       9                        86                       -0.713908                70                       
challenge_instances/simple-polygon-exterior-20_20_e64ff8fc.instance.json        22                       9                        81                       -0.580857                67.5                     
challenge_instances/simple-polygon-exterior-20_40_8ad14096.instance.json        39                       11                       118                      -0.759555                92                       
challenge_instances/simple-polygon-exterior_100_37aaf06f.instance.json          121                      67                       170                      -0.301342                286                      
challenge_instances/simple-polygon-exterior_60_ba2c82c0.instance.json           47                       12                       116                      -0.63262                 94                       
challenge_instances/simple-polygon-exterior_10_8b098f5e.instance.json           9                        6                        43                       -0.202796                39.5                     
challenge_instances/simple-polygon-exterior_150_fb998503.instance.json          176                      123                      176                      -0.214059                457                      
