File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/ortho_60_5c5796a0.instance.json                             31                       3                        69                       -1.58169                 43.5                     
challenge_instances/ortho_10_d2723dcc.instance.json                             4                        3                        16                       0.00716988               17                       
challenge_instances/ortho_100_bd1e4a14.instance.json                            43                       12                       113                      -0.695577                92.5                     
challenge_instances/ortho_150_53eb4022.instance.json                            56                       31                       126                      -0.21969                 156                      
challenge_instances/ortho_20_e2aff192.instance.json                             6                        1                        11                       -1.10804                 8.5                      
challenge_instances/ortho_250_6e6a66c2.instance.json                            122                      45                       172                      -0.555176                221                      
challenge_instances/ortho_60_c423f527.instance.json                             27                       9                        83                       -0.471312                68.5                     
challenge_instances/ortho_250_3b977f7e.instance.json                            109                      44                       162                      -0.530683                213                      
challenge_instances/ortho_20_5a9e8244.instance.json                             9                        2                        17                       -0.660316                14.5                     
challenge_instances/ortho_80_06ee55d4.instance.json                             36                       7                        116                      -1.04945                 79                       
challenge_instances/ortho_40_56a6f463.instance.json                             23                       3                        45                       -0.880094                31.5                     
