File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/point-set_10_c04b0024.instance.json                         9                        1                        17                       -1.29307                 11.5                     
challenge_instances/point-set_20_0c4009d9.instance.json                         26                       9                        70                       -0.765135                62                       
challenge_instances/point-set_40_9451c229.instance.json                         34                       15                       76                       -0.321091                83                       
challenge_instances/point-set_20_72cd2066.instance.json                         21                       7                        56                       -0.700202                49                       
challenge_instances/point-set_10_7451a2a9.instance.json                         5                        2                        5                        -0.704265                8.5                      
challenge_instances/point-set_80_8383fead.instance.json                         86                       45                       162                      -0.362398                216                      
challenge_instances/point-set_10_f999dc7f.instance.json                         10                       5                        13                       -0.230462                21.5                     
challenge_instances/point-set_80_ff15444b.instance.json                         86                       40                       157                      -0.457593                198.5                    
challenge_instances/point-set_100_05594822.instance.json                        111                      58                       166                      -0.321206                257                      
challenge_instances/point-set_80_1675b331.instance.json                         54                       23                       113                      -0.359042                125.5                    
challenge_instances/point-set_20_fa3fd7e0.instance.json                         15                       3                        32                       -1.12892                 25                       
challenge_instances/point-set_80_837b0f11.instance.json                         105                      55                       168                      -0.404567                249                      
challenge_instances/point-set_80_d77fb670.instance.json                         68                       18                       140                      -0.864669                124                      
challenge_instances/point-set_100_dd67678e.instance.json                        89                       58                       157                      -0.176727                252.5                    
challenge_instances/point-set_150_982c9ab3.instance.json                        198                      151                      174                      -0.146202                540                      
challenge_instances/point-set_60_74409a1d.instance.json                         59                       18                       124                      -0.665882                116                      
challenge_instances/point-set_60_27bc003d.instance.json                         65                       39                       152                      -0.347029                193                      
challenge_instances/point-set_40_8cbf31aa.instance.json                         30                       9                        76                       -0.773565                65                       
challenge_instances/point-set_60_ac318d72.instance.json                         64                       26                       139                      -0.457151                147.5                    
challenge_instances/point-set_250_3c338713.instance.json                        257                      171                      186                      -0.257214                606                      
challenge_instances/point-set_10_97578aae.instance.json                         6                        1                        12                       -1.60567                 9                        
challenge_instances/point-set_150_b26a2c80.instance.json                        153                      83                       177                      -0.377235                337.5                    
challenge_instances/point-set_40_ae33a7ea.instance.json                         38                       16                       103                      -0.442706                99.5                     
challenge_instances/point-set_60_2ff8f975.instance.json                         72                       34                       148                      -0.453647                176                      
challenge_instances/point-set_20_54ab0b47.instance.json                         18                       6                        72                       -0.516805                54                       
challenge_instances/point-set_10_4bcb7c21.instance.json                         6                        2                        24                       -0.745389                18                       
challenge_instances/point-set_20_41c48315.instance.json                         20                       5                        56                       -0.791206                43                       
challenge_instances/point-set_60_9fc02edd.instance.json                         80                       41                       152                      -0.289131                199                      
challenge_instances/point-set_250_93dd622a.instance.json                        121                      71                       159                      -0.268502                292.5                    
challenge_instances/point-set_40_1b92b629.instance.json                         40                       18                       98                       -0.317936                103                      
challenge_instances/point-set_10_d009159f.instance.json                         8                        4                        31                       -0.263992                27.5                     
challenge_instances/point-set_20_34a047f7.instance.json                         23                       10                       80                       -0.560194                70                       
challenge_instances/point-set_10_ae0fff93.instance.json                         6                        2                        10                       -0.61187                 11                       
challenge_instances/point-set_150_20bcb550.instance.json                        118                      73                       168                      -0.230846                303                      
challenge_instances/point-set_80_9a8373fb.instance.json                         35                       12                       68                       -0.539507                70                       
challenge_instances/point-set_40_f511c8ce.instance.json                         44                       17                       121                      -0.526508                111.5                    
challenge_instances/point-set_150_1fb326cf.instance.json                        164                      133                      173                      -0.0974654               485.5                    
challenge_instances/point-set_20_5868538a.instance.json                         15                       4                        54                       -0.768124                39                       
