File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/simple-polygon_20_35585ee3.instance.json                    8                        2                        38                       -0.438562                25                       
challenge_instances/simple-polygon_150_743d6b9c.instance.json                   85                       24                       153                      -0.681356                148.5                    
challenge_instances/simple-polygon_40_12969fc3.instance.json                    23                       7                        79                       -0.571768                60.5                     
challenge_instances/simple-polygon_100_4ee8f447.instance.json                   49                       17                       145                      -0.666724                123.5                    
challenge_instances/simple-polygon_60_0347cd75.instance.json                    33                       13                       68                       -0.448685                73                       
challenge_instances/simple-polygon_250_432b4814.instance.json                   128                      43                       170                      -0.625522                214                      
challenge_instances/simple-polygon_250_6e9d9c26.instance.json                   51                       13                       107                      -0.727156                92.5                     
challenge_instances/simple-polygon_150_c0cf1e9c.instance.json                   74                       15                       138                      -0.937881                114                      
challenge_instances/simple-polygon_150_b42a5724.instance.json                   109                      51                       168                      -0.442088                237                      
challenge_instances/simple-polygon_10_f2c8d74a.instance.json                    5                        1                        12                       -1.10995                 9                        
challenge_instances/simple-polygon_80_48c9df87.instance.json                    42                       10                       106                      -0.845663                83                       
challenge_instances/simple-polygon_100_6101abad.instance.json                   37                       11                       77                       -0.738832                71.5                     
challenge_instances/simple-polygon_150_f24b0f8e.instance.json                   48                       20                       96                       -0.382239                108                      
challenge_instances/simple-polygon_100_cb23308c.instance.json                   74                       43                       155                      -0.294604                206.5                    
challenge_instances/simple-polygon_100_4b4ba391.instance.json                   23                       5                        75                       -0.899483                52.5                     
challenge_instances/simple-polygon_250_c02755d7.instance.json                   119                      42                       172                      -0.629154                212                      
challenge_instances/simple-polygon_10_297edd18.instance.json                    6                        0                        17                       -0.67517                 8.5                      
challenge_instances/simple-polygon_20_0dda68ed.instance.json                    13                       4                        26                       -0.314238                25                       
challenge_instances/simple-polygon_20_4bd3c2e5.instance.json                    10                       1                        29                       -0.552606                17.5                     
