File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/point-set_10_f999dc7f.instance.json                         10                       1                        13                       -1.83315                 9.5                      
challenge_instances/point-set_10_ae0fff93.instance.json                         6                        2                        10                       -0.599855                11                       
challenge_instances/point-set_40_f511c8ce.instance.json                         44                       13                       108                      -0.754571                93                       
challenge_instances/point-set_60_74409a1d.instance.json                         59                       26                       149                      -0.485225                152.5                    
challenge_instances/point-set_40_ae33a7ea.instance.json                         38                       18                       125                      -0.452994                116.5                    
challenge_instances/point-set_40_8cbf31aa.instance.json                         30                       12                       78                       -0.519521                75                       
challenge_instances/point-set_10_97578aae.instance.json                         6                        2                        24                       -0.527399                18                       
challenge_instances/point-set_100_05594822.instance.json                        111                      57                       170                      -0.405363                256                      
challenge_instances/point-set_150_1fb326cf.instance.json                        164                      140                      169                      -0.0816389               504.5                    
challenge_instances/point-set_10_d009159f.instance.json                         8                        6                        48                       -0.382575                42                       
challenge_instances/point-set_150_982c9ab3.instance.json                        198                      154                      178                      -0.164048                551                      
challenge_instances/point-set_20_54ab0b47.instance.json                         18                       8                        47                       -0.273602                47.5                     
challenge_instances/point-set_80_837b0f11.instance.json                         105                      69                       160                      -0.238755                287                      
challenge_instances/point-set_60_9fc02edd.instance.json                         80                       44                       149                      -0.255902                206.5                    
challenge_instances/point-set_40_1b92b629.instance.json                         40                       21                       100                      -0.287323                113                      
challenge_instances/point-set_60_2ff8f975.instance.json                         72                       30                       152                      -0.473532                166                      
challenge_instances/point-set_20_5868538a.instance.json                         15                       6                        46                       -0.3907                  41                       
challenge_instances/point-set_40_9451c229.instance.json                         34                       14                       85                       -0.415083                84.5                     
challenge_instances/point-set_80_8383fead.instance.json                         86                       46                       158                      -0.3105                  217                      
challenge_instances/point-set_10_7451a2a9.instance.json                         5                        1                        8                        -1.36419                 7                        
challenge_instances/point-set_20_fa3fd7e0.instance.json                         15                       4                        31                       -0.975726                27.5                     
challenge_instances/point-set_80_d77fb670.instance.json                         68                       29                       138                      -0.450037                156                      
challenge_instances/point-set_60_ac318d72.instance.json                         64                       30                       144                      -0.46189                 162                      
challenge_instances/point-set_80_9a8373fb.instance.json                         35                       19                       77                       -0.244854                95.5                     
challenge_instances/point-set_10_c04b0024.instance.json                         9                        1                        17                       -1.17561                 11.5                     
challenge_instances/point-set_150_b26a2c80.instance.json                        153                      77                       176                      -0.438202                319                      
challenge_instances/point-set_80_1675b331.instance.json                         54                       22                       145                      -0.491301                138.5                    
challenge_instances/point-set_60_27bc003d.instance.json                         65                       38                       132                      -0.283728                180                      
challenge_instances/point-set_20_0c4009d9.instance.json                         26                       6                        73                       -1.0139                  54.5                     
challenge_instances/point-set_100_0245ce31.instance.json                        32                       7                        68                       -0.712284                55                       
challenge_instances/point-set_20_34a047f7.instance.json                         23                       10                       97                       -0.580238                78.5                     
challenge_instances/point-set_10_13860916.instance.json                         11                       3                        19                       -0.623148                18.5                     
challenge_instances/point-set_10_4bcb7c21.instance.json                         6                        2                        9                        -0.504606                10.5                     
challenge_instances/point-set_250_3c338713.instance.json                        257                      173                      188                      -0.253834                613                      
challenge_instances/point-set_20_72cd2066.instance.json                         21                       3                        51                       -1.0632                  34.5                     
challenge_instances/point-set_100_dd67678e.instance.json                        89                       49                       152                      -0.332779                223                      
challenge_instances/point-set_80_ff15444b.instance.json                         86                       51                       148                      -0.240744                227                      
challenge_instances/point-set_150_20bcb550.instance.json                        118                      67                       163                      -0.290427                282.5                    
challenge_instances/point-set_250_93dd622a.instance.json                        121                      75                       161                      -0.250427                305.5                    
challenge_instances/point-set_20_41c48315.instance.json                         20                       10                       65                       -0.314605                62.5                     
