File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/simple-polygon-exterior-20_20_eb63a5b6.instance.json        21                       5                        53                       -0.645009                41.5                     
challenge_instances/simple-polygon-exterior-20_40_b9ab4f03.instance.json        47                       11                       112                      -0.806336                89                       
challenge_instances/simple-polygon-exterior-20_20_1e719235.instance.json        25                       10                       78                       -0.503397                69                       
challenge_instances/simple-polygon-exterior-20_10_8c4306da.instance.json        8                        2                        22                       -0.810871                17                       
challenge_instances/simple-polygon-exterior_60_8670ab75.instance.json           61                       26                       137                      -0.415129                146.5                    
challenge_instances/simple-polygon-exterior-20_40_84415804.instance.json        36                       20                       88                       -0.246567                104                      
challenge_instances/simple-polygon-exterior_150_89d077ac.instance.json          141                      82                       173                      -0.314827                332.5                    
challenge_instances/simple-polygon-exterior_40_7685a35e.instance.json           37                       16                       118                      -0.412212                107                      
challenge_instances/simple-polygon-exterior-20_250_eb5ab92f.instance.json       253                      163                      199                      -0.288491                588.5                    
challenge_instances/simple-polygon-exterior_10_74050e4d.instance.json           7                        1                        6                        -1.70805                 6                        
challenge_instances/simple-polygon-exterior_80_22d34c7e.instance.json           89                       49                       168                      -0.356697                231                      
challenge_instances/simple-polygon-exterior-20_100_7ed1ca87.instance.json       113                      73                       168                      -0.262733                303                      
challenge_instances/simple-polygon-exterior-20_250_4441b4ca.instance.json       248                      167                      187                      -0.255014                594.5                    
challenge_instances/simple-polygon-exterior-20_40_5faf6985.instance.json        34                       13                       98                       -0.46498                 88                       
challenge_instances/simple-polygon-exterior_10_c5616894.instance.json           12                       3                        30                       -0.926689                24                       
challenge_instances/simple-polygon-exterior-20_150_7768dd44.instance.json       161                      107                      175                      -0.229002                408.5                    
challenge_instances/simple-polygon-exterior-20_20_52abeef5.instance.json        24                       7                        66                       -0.554254                54                       
challenge_instances/simple-polygon-exterior-20_100_c256488f.instance.json       113                      62                       170                      -0.335649                271                      
challenge_instances/simple-polygon-exterior-20_60_53ad6d23.instance.json        45                       12                       113                      -0.731019                92.5                     
challenge_instances/simple-polygon-exterior_100_f1740925.instance.json          101                      68                       158                      -0.161265                283                      
challenge_instances/simple-polygon-exterior_10_a5f0f2fc.instance.json           7                        3                        24                       -0.156599                21                       
challenge_instances/simple-polygon-exterior_10_40642b31.instance.json           7                        2                        25                       -0.750904                18.5                     
challenge_instances/simple-polygon-exterior-20_250_823ed1ae.instance.json       283                      190                      199                      -0.280328                669.5                    
challenge_instances/simple-polygon-exterior-20_60_8221c868.instance.json        73                       43                       158                      -0.326154                208                      
challenge_instances/simple-polygon-exterior-20_250_0c9fa44e.instance.json       289                      188                      200                      -0.260579                664                      
challenge_instances/simple-polygon-exterior_250_3f7ba0d3.instance.json          280                      196                      200                      -0.261563                688                      
challenge_instances/simple-polygon-exterior_80_d87f15e8.instance.json           87                       51                       164                      -0.310308                235                      
challenge_instances/simple-polygon-exterior_20_7520a1da.instance.json           16                       4                        44                       -0.783747                34                       
challenge_instances/simple-polygon-exterior_10_310dc6c7.instance.json           5                        0                        19                       -0.546786                9.5                      
challenge_instances/simple-polygon-exterior_20_92dcd467.instance.json           15                       7                        48                       -0.301698                45                       
challenge_instances/simple-polygon-exterior_10_8b098f5e.instance.json           9                        6                        37                       -0.147409                36.5                     
challenge_instances/simple-polygon-exterior_250_c0a19392.instance.json          302                      215                      200                      -0.243973                745                      
challenge_instances/simple-polygon-exterior-20_10_868921c7.instance.json        7                        0                        10                       -0.980147                5                        
challenge_instances/simple-polygon-exterior-20_60_28a85662.instance.json        76                       33                       164                      -0.504398                181                      
challenge_instances/simple-polygon-exterior-20_100_8bfbe418.instance.json       105                      64                       167                      -0.287735                275.5                    
challenge_instances/simple-polygon-exterior_40_11434792.instance.json           45                       14                       113                      -0.563416                98.5                     
challenge_instances/simple-polygon-exterior-20_60_e6f13145.instance.json        82                       59                       152                      -0.152782                253                      
challenge_instances/simple-polygon-exterior_60_494df14f.instance.json           69                       41                       152                      -0.269829                199                      
challenge_instances/simple-polygon-exterior-20_40_317d3f6d.instance.json        30                       6                        85                       -0.966465                60.5                     
challenge_instances/simple-polygon-exterior-20_80_1c5fcde7.instance.json        87                       48                       161                      -0.309997                224.5                    
challenge_instances/simple-polygon-exterior-20_20_0f96fb2c.instance.json        19                       5                        64                       -1.01898                 47                       
challenge_instances/simple-polygon-exterior-20_150_41e0c5f0.instance.json       165                      101                      179                      -0.291149                392.5                    
challenge_instances/simple-polygon-exterior_40_ff947945.instance.json           49                       20                       134                      -0.449716                127                      
challenge_instances/simple-polygon-exterior_150_1301b82e.instance.json          164                      102                      178                      -0.291457                395                      
challenge_instances/simple-polygon-exterior-20_60_57cd1db6.instance.json        64                       25                       148                      -0.613489                149                      
challenge_instances/simple-polygon-exterior_40_ca26cbd4.instance.json           45                       25                       107                      -0.341003                128.5                    
challenge_instances/simple-polygon-exterior-20_80_889602ae.instance.json        86                       51                       154                      -0.311733                230                      
challenge_instances/simple-polygon-exterior-20_40_8ad14096.instance.json        39                       15                       122                      -0.561891                106                      
challenge_instances/simple-polygon-exterior_40_785575e7.instance.json           33                       16                       126                      -0.353829                111                      
