File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/simple-polygon_10_272aa6ea.instance.json                    4                        0                        7                        -0.752617                3.5                      
challenge_instances/simple-polygon_10_f2c8d74a.instance.json                    5                        1                        11                       -1.09114                 8.5                      
challenge_instances/simple-polygon_20_0dda68ed.instance.json                    13                       1                        17                       -1.42964                 11.5                     
challenge_instances/simple-polygon_40_12969fc3.instance.json                    23                       5                        60                       -0.834473                45                       
challenge_instances/simple-polygon_100_4ee8f447.instance.json                   49                       20                       121                      -0.403326                120.5                    
challenge_instances/simple-polygon_100_cb23308c.instance.json                   74                       39                       150                      -0.405983                192                      
challenge_instances/simple-polygon_60_17af118a.instance.json                    21                       3                        70                       -0.929321                44                       
challenge_instances/simple-polygon_150_743d6b9c.instance.json                   85                       23                       136                      -0.781099                137                      
challenge_instances/simple-polygon_100_6101abad.instance.json                   37                       10                       82                       -0.61293                 71                       
challenge_instances/simple-polygon_80_7b8f6c4c.instance.json                    22                       5                        42                       -0.522644                36                       
challenge_instances/simple-polygon_60_0347cd75.instance.json                    33                       9                        87                       -0.624156                70.5                     
challenge_instances/simple-polygon_20_4bd3c2e5.instance.json                    10                       2                        22                       -0.896033                17                       
challenge_instances/simple-polygon_150_f24b0f8e.instance.json                   48                       14                       116                      -0.775109                100                      
challenge_instances/simple-polygon_150_b42a5724.instance.json                   109                      59                       156                      -0.387647                255                      
challenge_instances/simple-polygon_10_297edd18.instance.json                    6                        2                        32                       -0.555752                22                       
challenge_instances/simple-polygon_100_4b4ba391.instance.json                   23                       4                        77                       -0.985929                50.5                     
challenge_instances/simple-polygon_80_48c9df87.instance.json                    42                       8                        91                       -0.962601                69.5                     
challenge_instances/simple-polygon_20_35585ee3.instance.json                    8                        2                        39                       -0.374739                25.5                     
challenge_instances/simple-polygon_250_6e9d9c26.instance.json                   51                       18                       125                      -0.46757                 116.5                    
challenge_instances/simple-polygon_250_432b4814.instance.json                   128                      35                       158                      -0.691501                184                      
challenge_instances/simple-polygon_150_c0cf1e9c.instance.json                   74                       14                       139                      -1.00422                 111.5                    
challenge_instances/simple-polygon_250_c02755d7.instance.json                   119                      52                       174                      -0.487823                243                      
