File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/point-set_10_f999dc7f.instance.json                         10                       14                       12                       0.714065                 48                       
challenge_instances/point-set_10_ae0fff93.instance.json                         6                        4                        7                        0.352403                 15.5                     
challenge_instances/point-set_40_ae33a7ea.instance.json                         38                       31                       101                      0.169437                 143.5                    
challenge_instances/point-set_40_f511c8ce.instance.json                         44                       30                       118                      0.0287807                149                      
challenge_instances/point-set_20_41c48315.instance.json                         20                       18                       58                       0.242767                 83                       
challenge_instances/point-set_60_74409a1d.instance.json                         59                       41                       141                      0.107608                 193.5                    
challenge_instances/point-set_10_97578aae.instance.json                         6                        6                        11                       0.514432                 23.5                     
challenge_instances/point-set_10_d009159f.instance.json                         8                        12                       20                       0.467856                 46                       
challenge_instances/point-set_40_8cbf31aa.instance.json                         30                       18                       55                       0.0311339                81.5                     
challenge_instances/point-set_20_54ab0b47.instance.json                         18                       11                       67                       0.119203                 66.5                     
challenge_instances/point-set_100_05594822.instance.json                        111                      68                       160                      -0.282387                284                      
challenge_instances/point-set_80_837b0f11.instance.json                         105                      62                       168                      -0.254642                270                      
challenge_instances/point-set_150_1fb326cf.instance.json                        164                      130                      178                      -0.147778                479                      
challenge_instances/point-set_40_9451c229.instance.json                         34                       36                       68                       0.638578                 142                      
challenge_instances/point-set_60_9fc02edd.instance.json                         80                       47                       155                      -0.162518                218.5                    
challenge_instances/point-set_20_5868538a.instance.json                         15                       12                       37                       0.237631                 54.5                     
challenge_instances/point-set_60_2ff8f975.instance.json                         72                       42                       153                      -0.205048                202.5                    
challenge_instances/point-set_150_982c9ab3.instance.json                        198                      151                      172                      -0.140804                539                      
challenge_instances/point-set_80_8383fead.instance.json                         86                       45                       159                      -0.240171                214.5                    
challenge_instances/point-set_10_7451a2a9.instance.json                         5                        1                        14                       -1.11036                 10                       
challenge_instances/point-set_20_fa3fd7e0.instance.json                         15                       19                       34                       0.381322                 74                       
challenge_instances/point-set_80_d77fb670.instance.json                         68                       28                       153                      -0.439235                160.5                    
challenge_instances/point-set_60_ac318d72.instance.json                         64                       38                       131                      -0.127778                179.5                    
challenge_instances/point-set_80_9a8373fb.instance.json                         35                       38                       79                       0.515835                 153.5                    
challenge_instances/point-set_10_c04b0024.instance.json                         9                        6                        21                       0.380858                 28.5                     
challenge_instances/point-set_40_1b92b629.instance.json                         40                       22                       120                      -0.109121                126                      
challenge_instances/point-set_20_34a047f7.instance.json                         23                       21                       45                       0.245218                 85.5                     
challenge_instances/point-set_150_b26a2c80.instance.json                        153                      101                      178                      -0.236943                392                      
challenge_instances/point-set_80_1675b331.instance.json                         54                       25                       135                      -0.280603                142.5                    
challenge_instances/point-set_20_0c4009d9.instance.json                         26                       35                       74                       0.718679                 142                      
challenge_instances/point-set_100_0245ce31.instance.json                        32                       18                       69                       0.0297758                88.5                     
challenge_instances/point-set_10_13860916.instance.json                         11                       2                        35                       -1.14141                 23.5                     
challenge_instances/point-set_100_dd67678e.instance.json                        89                       63                       152                      -0.0998444               265                      
challenge_instances/point-set_10_4bcb7c21.instance.json                         6                        4                        12                       0.419552                 18                       
challenge_instances/point-set_60_27bc003d.instance.json                         65                       58                       150                      0.033064                 249                      
challenge_instances/point-set_250_3c338713.instance.json                        257                      171                      185                      -0.266155                605.5                    
challenge_instances/point-set_80_ff15444b.instance.json                         86                       57                       157                      -0.13765                 249.5                    
challenge_instances/point-set_150_20bcb550.instance.json                        118                      67                       176                      -0.299193                289                      
challenge_instances/point-set_250_93dd622a.instance.json                        121                      77                       167                      -0.226781                314.5                    
challenge_instances/point-set_20_72cd2066.instance.json                         21                       13                       82                       -0.185894                80                       
