File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/simple-polygon-exterior-20_40_b9ab4f03.instance.json        47                       17                       111                      -0.274179                106.5                    
challenge_instances/simple-polygon-exterior-20_20_eb63a5b6.instance.json        21                       13                       65                       0.0458276                71.5                     
challenge_instances/simple-polygon-exterior_60_8670ab75.instance.json           61                       29                       137                      -0.261252                155.5                    
challenge_instances/simple-polygon-exterior-20_10_8c4306da.instance.json        8                        6                        18                       0.355594                 27                       
challenge_instances/simple-polygon-exterior_150_89d077ac.instance.json          141                      91                       167                      -0.243479                356.5                    
challenge_instances/simple-polygon-exterior-20_40_84415804.instance.json        36                       18                       89                       -0.22836                 98.5                     
challenge_instances/simple-polygon-exterior_40_7685a35e.instance.json           37                       27                       116                      0.147347                 139                      
challenge_instances/simple-polygon-exterior-20_250_eb5ab92f.instance.json       253                      156                      197                      -0.347884                566.5                    
challenge_instances/simple-polygon-exterior-20_250_4441b4ca.instance.json       248                      167                      199                      -0.274739                600.5                    
challenge_instances/simple-polygon-exterior_10_74050e4d.instance.json           7                        5                        15                       0.168438                 22.5                     
challenge_instances/simple-polygon-exterior-20_100_7ed1ca87.instance.json       113                      73                       165                      -0.25789                 301.5                    
challenge_instances/simple-polygon-exterior_80_22d34c7e.instance.json           89                       62                       159                      -0.166483                265.5                    
challenge_instances/simple-polygon-exterior-20_40_5faf6985.instance.json        34                       17                       101                      -0.00497388              101.5                    
challenge_instances/simple-polygon-exterior-20_150_7768dd44.instance.json       161                      116                      178                      -0.167394                437                      
challenge_instances/simple-polygon-exterior_10_c5616894.instance.json           12                       7                        23                       -0.158066                32.5                     
challenge_instances/simple-polygon-exterior-20_100_c256488f.instance.json       113                      68                       171                      -0.288858                289.5                    
challenge_instances/simple-polygon-exterior-20_20_52abeef5.instance.json        24                       21                       73                       0.352051                 99.5                     
challenge_instances/simple-polygon-exterior_10_a5f0f2fc.instance.json           7                        5                        7                        0.164315                 18.5                     
challenge_instances/simple-polygon-exterior-20_60_53ad6d23.instance.json        45                       25                       126                      -0.113325                138                      
challenge_instances/simple-polygon-exterior_100_f1740925.instance.json          101                      68                       162                      -0.132098                285                      
challenge_instances/simple-polygon-exterior-20_250_823ed1ae.instance.json       283                      196                      198                      -0.245886                687                      
challenge_instances/simple-polygon-exterior_10_40642b31.instance.json           7                        4                        20                       -0.339854                22                       
challenge_instances/simple-polygon-exterior_20_ff791267.instance.json           25                       22                       77                       0.274083                 104.5                    
challenge_instances/simple-polygon-exterior-20_60_8221c868.instance.json        73                       43                       153                      -0.251528                205.5                    
challenge_instances/simple-polygon-exterior-20_250_0c9fa44e.instance.json       289                      176                      199                      -0.308549                627.5                    
challenge_instances/simple-polygon-exterior_80_d87f15e8.instance.json           87                       49                       153                      -0.27169                 223.5                    
challenge_instances/simple-polygon-exterior_10_8b098f5e.instance.json           9                        13                       25                       0.365705                 51.5                     
challenge_instances/simple-polygon-exterior_20_92dcd467.instance.json           15                       11                       67                       0.174109                 66.5                     
challenge_instances/simple-polygon-exterior_10_310dc6c7.instance.json           5                        6                        16                       0.666934                 26                       
challenge_instances/simple-polygon-exterior_250_c0a19392.instance.json          302                      213                      200                      -0.243133                739                      
challenge_instances/simple-polygon-exterior_250_3f7ba0d3.instance.json          280                      192                      199                      -0.272155                675.5                    
challenge_instances/simple-polygon-exterior_20_7520a1da.instance.json           16                       13                       50                       0.471559                 64                       
challenge_instances/simple-polygon-exterior-20_10_868921c7.instance.json        7                        4                        18                       0.379582                 21                       
challenge_instances/simple-polygon-exterior_60_494df14f.instance.json           69                       47                       156                      -0.136581                219                      
challenge_instances/simple-polygon-exterior-20_100_8bfbe418.instance.json       105                      65                       171                      -0.243473                280.5                    
challenge_instances/simple-polygon-exterior-20_60_28a85662.instance.json        76                       61                       148                      0.00401673               257                      
challenge_instances/simple-polygon-exterior_20_87cff693.instance.json           20                       19                       51                       0.419453                 82.5                     
challenge_instances/simple-polygon-exterior-20_60_e6f13145.instance.json        82                       65                       155                      -0.0808414               272.5                    
challenge_instances/simple-polygon-exterior_40_11434792.instance.json           45                       25                       130                      -0.0204269               140                      
challenge_instances/simple-polygon-exterior-20_40_317d3f6d.instance.json        30                       24                       84                       0.388051                 114                      
challenge_instances/simple-polygon-exterior-20_80_1c5fcde7.instance.json        87                       53                       162                      -0.211636                240                      
challenge_instances/simple-polygon-exterior-20_20_0f96fb2c.instance.json        19                       19                       78                       0.502369                 96                       
challenge_instances/simple-polygon-exterior_40_ff947945.instance.json           49                       29                       121                      -0.010166                147.5                    
challenge_instances/simple-polygon-exterior-20_150_41e0c5f0.instance.json       165                      104                      178                      -0.265367                401                      
challenge_instances/simple-polygon-exterior_150_1301b82e.instance.json          164                      113                      181                      -0.215672                429.5                    
challenge_instances/simple-polygon-exterior-20_60_57cd1db6.instance.json        64                       47                       149                      -0.0999923               215.5                    
challenge_instances/simple-polygon-exterior_40_785575e7.instance.json           33                       17                       111                      -0.0423762               106.5                    
challenge_instances/simple-polygon-exterior_40_ca26cbd4.instance.json           45                       32                       132                      -0.111679                162                      
challenge_instances/simple-polygon-exterior-20_80_889602ae.instance.json        86                       60                       146                      -0.0878956               253                      
challenge_instances/simple-polygon-exterior-20_20_e64ff8fc.instance.json        22                       23                       82                       0.387181                 110                      
challenge_instances/simple-polygon-exterior-20_40_8ad14096.instance.json        39                       20                       116                      -0.252188                118                      
challenge_instances/simple-polygon-exterior_20_2a7302a0.instance.json           16                       13                       50                       0.115475                 64                       
challenge_instances/simple-polygon-exterior-20_20_c27f41dd.instance.json        20                       19                       30                       0.282513                 72                       
challenge_instances/simple-polygon-exterior-20_10_c6728228.instance.json        8                        0                        12                       -1.05446                 6                        
challenge_instances/simple-polygon-exterior_60_ba2c82c0.instance.json           47                       21                       131                      -0.356763                128.5                    
challenge_instances/simple-polygon-exterior_100_37aaf06f.instance.json          121                      75                       169                      -0.258092                309.5                    
challenge_instances/simple-polygon-exterior_60_881cf585.instance.json           75                       49                       157                      -0.227882                225.5                    
challenge_instances/simple-polygon-exterior_150_fb998503.instance.json          176                      108                      182                      -0.283424                415                      
challenge_instances/simple-polygon-exterior_60_1a49dffa.instance.json           58                       47                       134                      0.0171225                208                      
challenge_instances/simple-polygon-exterior-20_10_46c44a43.instance.json        8                        7                        37                       0.225252                 39.5                     
challenge_instances/simple-polygon-exterior_20_c820ed5d.instance.json           21                       22                       81                       0.28963                  106.5                    
challenge_instances/simple-polygon-exterior-20_80_f6e462fb.instance.json        90                       53                       167                      -0.346524                242.5                    
challenge_instances/simple-polygon-exterior_100_686dd044.instance.json          111                      76                       171                      -0.203132                313.5                    
challenge_instances/simple-polygon-exterior-20_40_65de7236.instance.json        41                       24                       114                      -0.197727                129                      
challenge_instances/simple-polygon-exterior-20_60_6088b7a9.instance.json        58                       44                       120                      0.225544                 192                      
challenge_instances/simple-polygon-exterior_250_a97729dd.instance.json          259                      162                      195                      -0.303285                583.5                    
challenge_instances/simple-polygon-exterior-20_10_15783346.instance.json        7                        1                        42                       -1.65729                 24                       
