File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/ortho_40_56a6f463.instance.json                             23                       16                       63                       0.0544829                79.5                     
challenge_instances/ortho_10_d2723dcc.instance.json                             4                        4                        5                        0.776571                 14.5                     
challenge_instances/ortho_60_5c5796a0.instance.json                             31                       27                       73                       0.286785                 117.5                    
challenge_instances/ortho_100_bd1e4a14.instance.json                            43                       26                       109                      0.0220475                132.5                    
challenge_instances/ortho_40_df58ce3b.instance.json                             13                       14                       49                       0.462619                 66.5                     
challenge_instances/ortho_20_e2aff192.instance.json                             6                        9                        19                       0.982035                 36.5                     
challenge_instances/ortho_60_c423f527.instance.json                             27                       21                       60                       0.437879                 93                       
challenge_instances/ortho_150_53eb4022.instance.json                            56                       28                       135                      -0.233954                151.5                    
challenge_instances/ortho_20_5a9e8244.instance.json                             9                        5                        18                       0.302476                 24                       
challenge_instances/ortho_60_f744490d.instance.json                             23                       13                       60                       0.129374                 69                       
challenge_instances/ortho_80_06ee55d4.instance.json                             36                       29                       83                       0.365234                 128.5                    
challenge_instances/ortho_250_6e6a66c2.instance.json                            122                      53                       173                      -0.449283                245.5                    
challenge_instances/ortho_250_3b977f7e.instance.json                            109                      48                       155                      -0.402004                221.5                    
