File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/simple-polygon_10_272aa6ea.instance.json                    4                        0                        9                        -0.827355                4.5                      
challenge_instances/simple-polygon_10_f2c8d74a.instance.json                    5                        0                        12                       -0.595738                6                        
challenge_instances/simple-polygon_20_0dda68ed.instance.json                    13                       13                       39                       0.756397                 58.5                     
challenge_instances/simple-polygon_40_12969fc3.instance.json                    23                       21                       55                       0.371029                 90.5                     
challenge_instances/simple-polygon_100_4ee8f447.instance.json                   49                       26                       123                      -0.21764                 139.5                    
challenge_instances/simple-polygon_100_cb23308c.instance.json                   74                       48                       149                      -0.151318                218.5                    
challenge_instances/simple-polygon_150_743d6b9c.instance.json                   85                       33                       143                      -0.475999                170.5                    
challenge_instances/simple-polygon_60_17af118a.instance.json                    21                       20                       74                       0.484141                 97                       
challenge_instances/simple-polygon_100_6101abad.instance.json                   37                       20                       82                       0.122677                 101                      
challenge_instances/simple-polygon_150_b42a5724.instance.json                   109                      56                       165                      -0.390638                250.5                    
challenge_instances/simple-polygon_60_0347cd75.instance.json                    33                       19                       89                       0.382738                 101.5                    
challenge_instances/simple-polygon_20_4bd3c2e5.instance.json                    10                       5                        28                       0.307609                 29                       
challenge_instances/simple-polygon_80_7b8f6c4c.instance.json                    22                       34                       49                       0.833764                 126.5                    
challenge_instances/simple-polygon_150_f24b0f8e.instance.json                   48                       34                       134                      0.045329                 169                      
challenge_instances/simple-polygon_80_48c9df87.instance.json                    42                       28                       95                       0.271436                 131.5                    
challenge_instances/simple-polygon_10_297edd18.instance.json                    6                        8                        20                       1.5642                   34                       
challenge_instances/simple-polygon_250_6e9d9c26.instance.json                   51                       26                       127                      -0.192228                141.5                    
challenge_instances/simple-polygon_20_35585ee3.instance.json                    8                        8                        25                       0.713498                 36.5                     
challenge_instances/simple-polygon_100_4b4ba391.instance.json                   23                       14                       71                       0.167017                 77.5                     
challenge_instances/simple-polygon_250_432b4814.instance.json                   128                      40                       164                      -0.58564                 202                      
challenge_instances/simple-polygon_150_c0cf1e9c.instance.json                   74                       18                       153                      -0.786795                130.5                    
challenge_instances/simple-polygon_250_c02755d7.instance.json                   119                      44                       172                      -0.576969                218                      
